Type,Poem/poet,wordCount,avgWordLength,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,identityEndRhymeFreq,endRhymeFreq,soundDevicesFreq,concreteness,imageability,valence,arousal,typeTokenRatio,logWordFreq,objectWords,absWords
contempPoet,"RiotAct,April29,1992,byAi/Poet",0.6269,0.2084,0.0317,0.3861,0.5763,0.1016,0.0169,0,0.1355,0.9942,2.687526882,335.3130081,5.720909091,4.136868687,0.57925072,2.134617755,0.04610951,0.028818444
contempPoet,"Twenty-yearMarriage,byAi/Poet",0.4135,0.1323,0.023,0.2923,0.4769,0.119,0,0,0.119,0.7923,2.924782609,356.1862745,5.382391304,3.912826087,0.778625954,2.143259062,0.091603053,0.015267176
contempPoet,"ToDorothy,byMarvinBell/Poet",0.3704,0.1216,0,0.4313,0.5588,0.0277,0.0277,0.0277,0.0833,0.9901,2.675376344,340.7654321,5.924444444,3.683055556,0.621359223,2.096226984,0.067961165,0.019417476
contempPoet,"ToanAdolescentWeepingWillow,byMarvinBell/Poet",0.5081,0.1065,0.0096,0.298,0.3653,0.0312,0.0208,0,0.0625,0.673,2.932751323,362.7444444,5.472571429,3.736857143,0.516746411,1.984008028,0.081339713,0.033492823
contempPoet,"DreamSong26:Thegloriesoftheworldstruckme,byJohnBerryman/Poet",0.4037,0.2168,0.0409,0.4016,0.4344,0.0833,0.0625,0,0.1666,0.877,2.365402299,316.2,5.596363636,4.295454545,0.698412698,2.100121635,0.015873016,0.023809524
contempPoet,"DreamSong172:Yourfacebroods,byJohnBerryman/Poet",0.4024,0.2316,0.0413,0.5041,0.6528,0.0416,0.0625,0,0.1041,1.1983,2.636960784,332.8117647,4.852571429,4.134857143,0.756097561,2.433018794,0.016260163,0.008130081
contempPoet,"TheFish,byElizabethBishop/Poet",0.6482,0.2282,0.0344,0.3713,0.5676,0.081,0.009,0.009,0.1036,0.9734,2.794304207,350.7528958,5.511982759,4.020948276,0.582210243,2.675814708,0.037735849,0.016172507
contempPoet,"WarningtotheReader,byRobertBly/Poet",0.4641,0.2131,0.0292,0.421,0.5146,0.3333,0,0,0.3333,0.9649,2.592428571,322.5701754,5.704705882,3.934509804,0.706586826,2.12696846,0.02994012,0.02994012
contempPoet,"TheRussian,byRobertBly/Poet",0.5171,0.1242,0.0275,0.2247,0.4587,0.0952,0.0158,0,0.1269,0.711,2.714918033,342.8562874,5.632222222,3.936349206,0.643835616,1.885240403,0.04109589,0.00456621
contempPoet,"ALovelyLove,byGwendolynBrooks/Poet",0.377,0.2292,0.0377,0.2924,0.6037,0.2222,0.1666,0,0.3888,0.9339,2.718297872,338.8082192,5.988285714,3.845142857,0.76635514,2.756493941,0.037383178,0.009345794
contempPoet,"TheChoir,byOlgaBroumas/Poet",0.2346,0.3166,0,0.4418,0.3488,0.2666,0,0,0.2666,0.7906,2.445833333,325.4285714,5.815,3.67,0.818181818,2.55769709,0,0.022727273
contempPoet,"atthecemetery,walnutgroveplantation,southcarolina,1989,byLucilleClifton/Poet",0.4012,0.3035,0.0333,0.3083,0.7583,0.0707,0,0.1111,0.1919,1.1,2.764044944,337.2911392,5.3008,3.8944,0.520661157,2.135605564,0.033057851,0
contempPoet,"scar,byLucilleClifton/Poet",0.2346,0.1166,0.0465,0.279,0.2558,0.0333,0,0.0333,0.0666,0.5813,2.96325,374.4878049,5.674210526,3.938421053,0.681818182,1.848383972,0.136363636,0.045454545
contempPoet,"Japan,byBillyCollins/Poet",0.5378,0.1101,0.0124,0.3029,0.3112,0.0808,0,0.0404,0.1212,0.6265,2.718262911,345.235,5.743529412,3.831323529,0.477178423,1.898147496,0.058091286,0.012448133
contempPoet,"WritingintheAfterlife,byBillyCollins/Poet",0.5351,0.2259,0.0168,0.3655,0.4579,0.0937,0,0.0104,0.1041,0.8403,2.497205882,319.2556818,5.66943662,3.90915493,0.601694915,2.128389522,0.033898305,0.012711864
contempPoet,"TheLanguage,byRobertCreeley/Poet",0.2653,0.1192,0.0196,0.196,0.4117,0.106,0,0.0151,0.1212,0.6274,2.558333333,347.7105263,5.611764706,4.103529412,0.769230769,1.88982047,0.038461538,0.019230769
contempPoet,"TheWarning,byRobertCreeley/Poet",0.18,0.1125,0,0.387,0.3225,0.1111,0,0,0.1111,0.7096,2.614137931,345.7407407,5.676153846,4.404615385,0.878787879,1.999171941,0.060606061,0
contempPoet,"Adultery,byJamesDickey/Poet",0.5405,0.2057,0.0368,0.3975,0.5,0.1397,0,0.0107,0.1505,0.9344,2.680184332,334.7486339,5.460615385,4.099846154,0.62704918,2.211573118,0.032786885,0.012295082
contempPoet,"Tomatoes,byStephenDobyns/Poet",0.6148,0.2104,0.0333,0.4303,0.4878,0.0877,0,0.0087,0.0964,0.9515,2.807189781,347.1803279,5.703229167,4.191875,0.547112462,2.352286616,0.036474164,0.018237082
contempPoet,"Fragments,byStephenDobyns/Poet",0.4111,0.2015,0.0312,0.3125,0.6015,0.0238,0,0,0.0238,0.9453,2.828660714,363.2574257,5.966041667,3.7525,0.674418605,2.115711232,0.062015504,0.015503876
contempPoet,"WingfootLake,byRitaDove/Poet",0.5333,0.3012,0.0338,0.3855,0.4661,0.0833,0,0.0092,0.1018,0.8855,2.694666667,341.3292683,5.961587302,3.775238095,0.68487395,2.199610858,0.012605042,0.029411765
contempPoet,"TheStairway,byStephenDunn/Poet",0.5027,0.3064,0.0297,0.3663,0.5891,0.0512,0,0,0.0512,0.9851,2.430977011,310.737931,6.077241379,3.887413793,0.65,2.200428532,0.045,0.025
contempPoet,"TheStrangePeople,byLouiseErdrich/Poet",0.5585,0.2067,0.0265,0.356,0.4545,0.098,0,0.0098,0.1078,0.8371,2.772542373,350.2403846,5.508604651,4.126162791,0.616541353,2.213066655,0.022556391,0.022556391
contempPoet,"NewVows,byLouiseErdrich/Poet",0.4074,0.2042,0.024,0.216,0.408,0.0666,0.0222,0,0.0888,0.6479,2.561747573,349.4086022,5.267272727,4.04,0.761904762,2.229731834,0.023809524,0.015873016
contempPoet,"SexualJealousy,byCarolFrost/Poet",0.4111,0.2242,0.0156,0.3437,0.3828,0,0,0,0.0769,0.7421,2.602758621,332.9166667,5.15952381,4.192142857,0.705426357,2.355716878,0.031007752,0.023255814
contempPoet,"TheUndressing,byCarolFrost/Poet",0.4246,0.2242,0.0287,0.2733,0.8417,0.0877,0,0,0.0877,1.1438,2.829593496,337.4818182,5.805,3.851842105,0.676056338,2.382128602,0.035211268,0.014084507
contempPoet,"ToKillaDeer,byCarolFrost/Poet",0.4987,0.2086,0.0301,0.3467,0.4723,0.1527,0,0.0277,0.1805,0.8492,2.881296296,379.3404255,5.432340426,4.276382979,0.603015075,2.301839382,0.055276382,0.020100503
contempPoet,"Nostos,LouiseGluck/Poet",0.4037,0.2157,0.0081,0.4754,0.4508,0.1212,0,0,0.1212,0.9344,2.614722222,329.4130435,6.11547619,3.757857143,0.706349206,2.341700664,0.047619048,0.055555556
contempPoet,"CelestialMusic,byLouiseGluck/Poet",0.6326,0.2213,0.0253,0.4084,0.5014,0.081,0,0.009,0.099,0.9352,2.612605863,353.0926641,6.004561404,4.044912281,0.570224719,2.424467388,0.033707865,0.02247191
contempPoet,"HowSimileWorks,byAlbertGoldbarth/Poet",0.3704,0.308,0.0392,0.5098,0.5294,0.0476,0,0,0.0476,1.0784,2.583953488,329.1780822,6.002692308,3.982307692,0.696078431,2.284104026,0.019607843,0.029411765
contempPoet,"TheOlderChild,byKimikoHahn/Poet",0.273,0.3074,0.0566,0.415,0.4339,0.1111,0,0,0.1111,0.9056,2.94826087,360.6578947,5.647368421,4.099473684,0.818181818,2.488558245,0.036363636,0.036363636
contempPoet,"ThePorcelainCouple,byDonaldHall/Poet",0.6198,0.2315,0.0267,0.3649,0.5281,0.1452,0,0,0.1538,0.9198,2.892629482,362.5972222,5.841097561,3.905,0.608955224,2.445513006,0.074626866,0.017910448
contempPoet,"Reuben,Reuben,byMichaelS.Harper/Poet",0.3065,0.1281,0.0476,0.3174,0.4603,0.25,0.0277,0,0.2777,0.8253,2.884210526,355.2978723,5.397777778,4.444074074,0.84375,1.844811391,0.015625,0.015625
contempPoet,"OurLadyoftheSnows,byRobertHass/Poet",0.4061,0.216,0.0161,0.3548,0.4919,0,0.0185,0,0.0185,0.8629,2.503888889,334.0103093,5.867058824,3.844705882,0.701612903,2.199364643,0.032258065,0.032258065
contempPoet,"TheImage,byRobertHass/Poet",0.3442,0.2314,0.0116,0.4302,0.6627,0,0,0,0,1.1046,2.576447368,336.9384615,6.34375,3.845416667,0.593023256,2.197989932,0.023255814,0.011627907
contempPoet,"ThoseWinterSundays,byRobertHayden/Poet",0.3606,0.2213,0.052,0.177,0.4687,0.0833,0,0,0.0833,0.6979,2.587037037,334.3823529,5.747692308,3.875769231,0.773195876,2.478028684,0.030927835,0
contempPoet,"ThisNight,byWilliamHeyen/Poet",0.3901,0.2202,0.0175,0.2368,0.4912,0.0555,0.0138,0.0277,0.0972,0.7456,2.734255319,339.1829268,5.777931034,3.622068966,0.678571429,2.597696161,0.017857143,0.008928571
contempPoet,"PlayingDead,byAndrewHudgins/Poet",0.4629,0.2113,0.0176,0.2294,0.3941,0.1538,0.0512,0,0.2051,0.6411,2.972761194,362.6016949,5.512727273,3.898181818,0.660818713,2.155935459,0.01754386,0.01754386
contempPoet,"DegreesOfGrayInPhilipsburg,byRichardHugo/Poet",0.5972,0.222,0.0325,0.2801,0.6514,0.075,0.0083,0,0.0916,0.9641,2.776891386,349.5327103,5.654019608,4.140196078,0.664516129,2.08914354,0.025806452,0.022580645
contempPoet,"Absences,byDonaldJustice/Poet",0.3836,0.233,0.0181,0.3272,0.4363,0.1818,0,0,0.1818,0.7818,2.490537634,330.8452381,5.901333333,3.731333333,0.648148148,1.94011013,0.055555556,0.064814815
contempPoet,"VariationsOnATextByVallejo,byDonaldJustice/Poet",0.581,0.2009,0.0276,0.3979,0.5051,0.0919,0.0114,0.0114,0.1149,0.9307,2.615568627,327.0755556,5.883972603,3.878493151,0.527586207,2.30536296,0.04137931,0.044827586
contempPoet,"AfterMakingLoveweHearFootsteps,byGalwayKinnell/Poet",0.4716,0.2303,0.0282,0.3841,0.418,0.0877,0,0,0.1052,0.8305,2.75316129,338.531746,6.056481481,3.927777778,0.710227273,2.355444816,0.028409091,0.017045455
contempPoet,"BlackberryEating,byGalwayKinnell/Poet",0.3557,0.4085,0.0322,0.4086,0.7849,0.3333,0,0,0.3333,1.2258,2.672428571,355.7090909,5.481333333,4.308333333,0.72826087,2.714523007,0.032608696,0.02173913
contempPoet,"Thrall,byCarolynKizer/Poet",0.4925,0.2068,0.0154,0.3608,0.4793,0.0574,0,0.0114,0.0919,0.8556,2.847109827,361.8666667,5.836101695,3.809152542,0.594871795,2.220503628,0.071794872,0.051282051
contempPoet,"TheIntruder,byCarolynKizer/Poet",0.5405,0.3151,0.0327,0.3196,0.7213,0.0476,0.0119,0,0.0714,1.0737,2.866536585,369.0925926,5.367804878,4.186829268,0.728395062,2.523980013,0.041152263,0.004115226
contempPoet,"FacingIt,byYusefKomunyakaa/Poet",0.4629,0.2128,0.0352,0.3588,0.5,0.0574,0,0,0.0689,0.8941,2.995483871,381.7719298,5.798,3.894909091,0.640718563,2.156648547,0.035928144,0.023952096
contempPoet,"AudacityoftheLowerGods,byYusefKomunyakaa/Poet",0.3573,0.3094,0.0425,0.3085,0.4361,0.1538,0,0,0.1538,0.7872,2.766621622,374.3965517,5.818484848,3.979090909,0.885416667,2.487733648,0.052083333,0.010416667
contempPoet,"HeavenasAnus,byMaxineKumin/Poet",0.4814,0.2283,0.0594,0.3837,0.5837,0.1428,0.0793,0,0.2222,1.027,2.602162162,315.0650407,5.343,4.2128,0.72826087,2.499606516,0.038043478,0.027173913
contempPoet,"Nurture,byMaxineKumin/Poet",0.4259,0.3011,0.0357,0.4214,0.6,0.1176,0.0196,0,0.1372,1.0571,2.681570248,336.1836735,5.703396226,4.033962264,0.744680851,2.631669669,0.014184397,0.014184397
contempPoet,"TheAbduction,byStanleyKunitz/Poet",0.5576,0.2234,0.0152,0.3688,0.5627,0.0797,0.0072,0,0.0942,0.9467,2.700692641,335.7979275,5.907076923,3.918153846,0.640151515,2.36273044,0.049242424,0.022727273
contempPoet,"MyIndigo,byLi-YoungLee/Poet",0.336,0.2089,0,0.5061,0.5555,0.0769,0,0,0.1025,1.0617,2.777464789,349.65,5.796785714,3.891785714,0.756097561,2.32602728,0.048780488,0.012195122
contempPoet,"EatingAlone,byLi-YoungLee/Poet",0.4802,0.2014,0.0217,0.3586,0.5706,0.0317,0,0,0.0317,0.951,2.916644737,370.7720588,5.560166667,3.901333333,0.677595628,2.366173888,0.054644809,0.016393443
contempPoet,"TheMutes,byDeniseLevertov/Poet",0.5153,0.2129,0.037,0.3657,0.5138,0.0427,0.0085,0,0.0683,0.9166,2.620486486,328.1612903,5.7182,4.06,0.637209302,2.1264203,0.023255814,0.023255814
contempPoet,"Wedding-Ring,byDeniseLevertov/Poet",0.4049,0.2177,0.0243,0.3821,0.4471,0.0877,0,0.0175,0.1052,0.8536,2.462871287,317.5795455,5.777878788,3.814545455,0.729508197,2.042533039,0.057377049,0.016393443
