Poem/poet	wordCount	$Freq	'Freq	"""Freq"	(Freq	)Freq	",Freq"	#NAME?	?Freq	!Freq	.Freq	:Freq	;Freq	...Freq	CCFreq	CDFreq	DTFreq	EXFreq	FWFreq	INFreq	JJFreq	JJRFreq	JJSFreq	LSFreq	MDFreq	NNFreq	NNPFreq	NNPSFreq	properNounFreq	NNSFreq	PDTFreq	POSFreq	PRPFreq	PRP$Freq	RBFreq	RBRFreq	RBSFreq	RPFreq	SYMFreq	TOFreq	UHFreq	VBFreq	VBDFreq	VBGFreq	VBNFreq	VBPFreq	VBZFreq	WDTFreq	WPFreq	WP$Freq	WRBFreq	numLines	avgLineLength	1SGNFreq	2SGNFreq	3SGMFreq	3SGFFreq	3SGNFreq	1PLNFreq	2PLNFreq	3PLNFreq	contractionsFreq	avgWordLength	alliterationFreq	assonanceFreq	consonanceFreq	slantEndRhymeFreq	semiEndRhymeFreq	perfectEndRhymeFreq	identityEndRhymeFreq	adjFreq	nounFreq	verbFreq	conjFreq	topNounFreq	topAdjFreq	topVerbFreq	numStanzas	avgLinesPerStanza	comparativesFreq	soundDevicesFreq	partialEndRhymeFreq	fullEndRhymeFreq	endRhymeFreq
"TheChoir,byOlgaBroumas/Poet"	0.2346	0	0	0	0	0	0.0454	0	0	0	0.0454	0	0	0	0.0681	0	0.1136	0	0	0.1363	0.159	0	0	0	0	0.1818	0	0	0	0.0681	0	0	0.0454	0.0454	0.0454	0	0	0	0	0	0	0.0227	0.0227	0.0227	0.0227	0.0454	0	0	0	0	0	0.1333	0.3047	0.0909	0	0	0	0	0	0	0	0	0.3166	0	0.4418	0.3488	0.2666	0	0	0	0.159	0.25	0.0909	0.2045	0.0227	0.0227	0.0227	0.05	0.6499	0	0.7906	0.2666	0	0.2666
"atthecemetery,walnutgroveplantation,southcarolina,1989,byLucilleClifton/Poet"	0.4012	0	0	0	0	0	0.0495	0	0	0	0.0578	0	0	0	0.033	0.0082	0.1239	0	0	0.0909	0.033	0	0	0	0.0082	0.1239	0	0	0	0.1735	0	0	0.0578	0.0661	0.0578	0	0	0	0	0	0	0.033	0.0743	0.0082	0.0247	0.033	0.033	0	0.0165	0	0	0.4625	0.1614	0.0578	0.0578	0	0	0	0	0	0.0082	0	0.3035	0.0333	0.3083	0.7583	0.0707	0.0101	0	0.1111	0.0413	0.2975	0.1735	0.1239	0.0413	0.0082	0.0413	0.4333	0.6499	0	1.1	0.0808	0.1111	0.1919
"scar,byLucilleClifton/Poet"	0.2346	0	0	0	0	0	0	0	0.0227	0	0.0681	0	0	0	0.1136	0	0	0	0	0.0909	0.0227	0	0	0	0.0909	0.1818	0	0	0	0	0	0	0.2045	0	0.0454	0	0	0.0227	0	0.0227	0	0.1136	0	0	0	0.0454	0	0	0.0454	0	0	0.2222	0.1666	0.1136	0.0681	0	0	0	0.0227	0	0	0	0.1166	0.0465	0.279	0.2558	0.0333	0	0	0.0333	0.0227	0.1818	0.159	0.2045	0.0227	0.0227	0.0454	0.4333	0.22	0	0.5813	0.0333	0.0333	0.0666
"Japan,byBillyCollins/Poet"	0.5378	0	0	0	0	0	0.0578	0	0	0	0.0495	0	0	0	0.0537	0.0041	0.1528	0.0041	0	0.1322	0.0454	0	0	0	0	0.1859	0	0	0	0.0206	0	0	0.1487	0.0289	0.033	0	0	0.0041	0	0.0082	0	0.0165	0	0.0495	0.0041	0.0661	0.0247	0	0	0	0.0165	0.4625	0.3152	0.0785	0.0123	0.0041	0	0.0785	0.0041	0	0	0.0041	0.1101	0.0124	0.3029	0.3112	0.0808	0	0	0.0404	0.0495	0.2066	0.1074	0.1859	0.0247	0.0041	0.0289	0.6799	0.2458	0	0.6265	0.0808	0.0404	0.1212
"WritingintheAfterlife,byBillyCollins/Poet"	0.5351	0	0	0	0	0	0.1255	0	0	0	0.0167	0	0	0	0.046	0.0041	0.1464	0	0	0.1004	0.0794	0.0041	0	0	0.0251	0.1631	0	0	0	0.046	0.0041	0	0.0543	0.0209	0.0836	0	0	0.0041	0	0.0209	0	0.0418	0.0292	0.0418	0.0334	0.0167	0.0167	0	0	0	0.0041	0.4562	0.3171	0.0292	0	0.0083	0	0.0041	0.0292	0	0.0041	0	0.2259	0.0168	0.3655	0.4579	0.0937	0	0	0.0104	0.0878	0.2092	0.1046	0.1464	0.0083	0.0083	0.0167	0.62	0.3388	0.0041	0.8403	0.0937	0.0104	0.1041
"TheLanguage,byRobertCreeley/Poet"	0.2653	0	0	0	0	0	0.0769	0.0192	0	0	0.1153	0	0	0	0.0576	0	0.0384	0	0	0.0576	0.0384	0	0	0	0	0.0769	0.0192	0.0192	0.0384	0.1153	0	0	0.1346	0	0.1153	0	0	0	0	0.0384	0	0.0961	0.0192	0.0192	0	0.0769	0.0384	0	0.0192	0	0.0192	0.375	0.1041	0.0576	0.0576	0	0	0.0192	0	0	0	0	0.1192	0.0196	0.196	0.4117	0.106	0	0	0.0151	0.0384	0.2307	0.2307	0.1153	0.0384	0.0192	0.0384	0.5666	0.25	0	0.6274	0.106	0.0151	0.1212
"TheWarning,byRobertCreeley/Poet"	0.18	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0.0625	0	0.125	0	0	0.1875	0.0625	0	0	0	0.0312	0.1875	0	0	0	0.0625	0	0	0.0937	0.0312	0	0	0	0	0	0	0	0.0312	0.0312	0	0.0312	0.0312	0.0312	0	0	0	0	0.15	0.175	0.0312	0.0312	0	0	0	0.0625	0	0	0	0.1125	0	0.387	0.3225	0.1111	0	0	0	0.0625	0.25	0.125	0.25	0.0625	0.0312	0.0312	0.15	0.35	0	0.7096	0.1111	0	0.1111
"Adultery,byJamesDickey/Poet"	0.5405	0	0	0	0	0	0.0367	0	0	0	0.0489	0.0122	0	0.004	0.0408	0.004	0.053	0.0081	0	0.1224	0.0653	0.004	0	0	0.0326	0.1102	0.0204	0.0081	0.0285	0.0612	0	0	0.1061	0.0244	0.0897	0.004	0	0.004	0	0.0081	0.004	0.0693	0	0.0408	0.0285	0.0571	0.0204	0.0081	0.004	0	0.0081	0.45	0.3237	0.0367	0.0204	0	0	0.0163	0.0489	0	0.0081	0.0122	0.2057	0.0368	0.3975	0.5	0.1397	0	0	0.0107	0.0734	0.2	0.1469	0.1632	0.0122	0.0081	0.0244	0.6599	0.25	0.0081	0.9344	0.1397	0.0107	0.1505
"Tomatoes,byStephenDobyns/Poet"	0.6148	0	0	0	0	0	0.0694	0	0.012	0	0.0936	0	0	0	0.0241	0.0181	0.1419	0.003	0	0.0876	0.0634	0	0	0	0.006	0.154	0.0151	0	0.0151	0.0906	0	0	0.0785	0.0483	0.0453	0	0.003	0	0	0.0211	0	0.0271	0.012	0.009	0.0241	0.012	0.0936	0.012	0	0	0.003	0.4937	0.3568	0.003	0.003	0.0604	0.0271	0.003	0	0	0.0302	0	0.2104	0.0333	0.4303	0.4878	0.0877	0	0	0.0087	0.0815	0.2598	0.145	0.1117	0.0151	0.012	0.0302	0.05	1	0.003	0.9515	0.0877	0.0087	0.0964
"Fragments,byStephenDobyns/Poet"	0.4111	0	0	0	0	0	0.0465	0	0	0	0.0697	0.0077	0.0077	0	0.0542	0.0155	0.0775	0.0077	0	0.1007	0.0852	0	0	0	0.0155	0.1472	0	0	0	0.093	0	0	0.0697	0.0387	0.062	0.0077	0	0	0	0.0155	0	0.0155	0.0077	0.0232	0.0155	0.0465	0.0775	0	0.0155	0	0.0077	0.2666	0.3515	0.0155	0.0387	0.0387	0	0.0155	0	0	0	0	0.2015	0.0312	0.3125	0.6015	0.0238	0	0	0	0.1007	0.2403	0.1472	0.155	0.0387	0.031	0.0232	0.35	0.35	0.0077	0.9453	0.0238	0	0.0238
"WingfootLake,byRitaDove/Poet"	0.5333	0	0	0	0.0084	0.0042	0.0675	0	0.0126	0.0042	0.0379	0.0042	0	0	0.0295	0.021	0.0886	0.0042	0	0.1434	0.0886	0	0	0	0	0.1603	0.0675	0.0042	0.0717	0.0843	0	0	0.0464	0.0337	0.0379	0.0042	0	0.0042	0	0.021	0	0.0084	0.0675	0.0295	0.0337	0.0042	0	0	0.0042	0	0.0084	0.4812	0.3039	0	0	0.0126	0.0421	0.0126	0	0	0.0126	0	0.3012	0.0338	0.3855	0.4661	0.0833	0.0092	0	0.0092	0.1097	0.3164	0.0801	0.1729	0.0084	0.0168	0.021	0.4333	0.73	0.0042	0.8855	0.0925	0.0092	0.1018
"TheStairway,byStephenDunn/Poet"	0.5027	0	0	0	0	0	0.0837	0	0	0	0.0295	0	0	0	0.0295	0.0197	0.1083	0	0	0.1379	0.0788	0	0	0	0.0394	0.1625	0	0	0	0.0394	0	0	0.0689	0.0197	0.0394	0	0	0	0	0.0443	0	0.0738	0.0443	0.0197	0.0344	0.0098	0.0098	0.0049	0.0147	0	0.0049	0.4187	0.3208	0	0.0197	0.0443	0	0.0197	0	0	0.0049	0.0295	0.3064	0.0297	0.3663	0.5891	0.0512	0	0	0	0.0985	0.2019	0.1379	0.1674	0.0246	0.0098	0.0197	0.05	1	0	0.9851	0.0512	0	0.0512
