Poem/poet,Type,year,imagist,time,expertise,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,identityEndRhymeFreq,endRhymeFreq,soundDevicesFreq,imageability,concreteness,valence,arousal,wordFreq,typeTokenRatio,wordLength,objectWords,abstractWords,emotWords,numWords
New Vows by Louise Erdrich,Poet,1954,0,modern,professional,0.024,0.216,0.408,0.0666,0.0222,0,0.0888,0.6479,-0.906706134,-0.456882715,0.159563219,-0.190294085,141.6666667,0.761904762,4.047619048,0.023809524,0.015873016,0.023809524,126
Sexual Jealousy by Carol Frost,Poet,1948,0,modern,professional,0.0156,0.3437,0.3828,0,0,0,0.0769,0.7421,-1.052297769,-0.416595711,0.075047075,-0.020570035,358.6,0.707692308,4.315384615,0.030769231,0.023076923,0.015384615,130
The Undressing by Carol Frost,Poet,1948,0,modern,professional,0.0287,0.2733,0.8417,0.0877,0,0,0.0877,1.1438,-1.015399305,-0.198991938,0.581345975,-0.400194968,273.0567376,0.673758865,4.361702128,0.035460993,0.014184397,0,141
To Kill a Deer by Carol Frost,Poet,1948,0,modern,professional,0.0301,0.3467,0.4723,0.1527,0,0.0277,0.1805,0.8492,-0.605764921,-0.125866083,0.296027589,0.077439627,184.6915423,0.597014925,4.054726368,0.059701493,0.019900498,0.019900498,201
Nostos by Louise Gluck,Poet,1943,0,modern,professional,0.0081,0.4754,0.4508,0.1212,0,0,0.1212,0.9344,-1.082897914,-0.390204223,0.823969108,-0.497832905,402.0322581,0.717741935,4.201612903,0.048387097,0.064516129,0,124
Celestial Music by Louise Gluck,Poet,1943,0,modern,professional,0.0253,0.4084,0.5014,0.081,0,0.009,0.099,0.9352,-0.853987976,-0.380452148,0.718878445,-0.192090321,466.3223141,0.550964187,4.236914601,0.033057851,0.022038567,0.03030303,363
How Simile Works by Albert Goldbarth,Poet,1948,0,modern,professional,0.0392,0.5098,0.5294,0.0476,0,0,0.0476,1.0784,-1.062440853,-0.417239263,0.712511816,-0.244419265,216.5576923,0.701923077,4.5,0.019230769,0.028846154,0.019230769,104
The Older Child by Kimiko Hahn,Poet,1955,0,modern,professional,0.0566,0.415,0.4339,0.1111,0,0,0.1111,0.9056,-0.794993881,-0.033936525,0.389919796,0.032286124,360.8727273,0.8,4.454545455,0.036363636,0.036363636,0,55
The Porcelain Couple by Donald Hall,Poet,1928,0,modern,professional,0.0267,0.3649,0.5281,0.1452,0,0,0.1538,0.9198,-0.738910569,-0.099873173,0.616464827,-0.307934656,298.0550725,0.588405797,4.356521739,0.08115942,0.020289855,0.002898551,345
Reuben Reuben by Michael S. Harper,Poet,1938,0,modern,professional,0.0476,0.3174,0.4603,0.25,0.0277,0,0.2777,0.8253,-0.863951699,-0.15238458,0.261928828,0.260473632,128.7727273,0.833333333,3.803030303,0.015151515,0.015151515,0.015151515,66
Our Lady of the Snows by Robert Hass,Poet,1941,0,modern,professional,0.0161,0.3548,0.4919,0,0.0185,0,0.0185,0.8629,-0.95289994,-0.457628065,0.60983137,-0.416928325,362.71875,0.6953125,4.1015625,0.03125,0.0390625,0.015625,128
The Image by Robert Hass,Poet,1941,0,modern,professional,0.0116,0.4302,0.6627,0,0,0,0,1.1046,-0.894316384,-0.343025428,1.027496162,-0.359166355,193.1235955,0.561797753,4.314606742,0.02247191,0.02247191,0.02247191,89
Those Winter Sundays by Robert Hayden,Poet,1913,0,modern,professional,0.052,0.177,0.4687,0.0833,0,0,0.0833,0.6979,-0.981668174,-0.422952131,0.60182702,-0.312179032,264.11,0.76,4.19,0.03,0,0.01,100
This Night by William Heyen,Poet,1940,0,modern,professional,0.0175,0.2368,0.4912,0.0555,0.0138,0.0277,0.0972,0.7456,-0.92357008,-0.257237046,0.619094284,-0.653598909,142.0086957,0.643478261,4.217391304,0.017391304,0.017391304,0,115
Playing Dead by Andrew Hudgins,Poet,1951,0,modern,professional,0.0176,0.2294,0.3941,0.1538,0.0512,0,0.2051,0.6411,-0.761235222,-0.054175658,0.356228788,-0.362585688,115.8457143,0.645714286,3.937142857,0.017142857,0.028571429,0.005714286,175
Degrees Of Gray In Philipsburg by Richard Hugo,Poet,1923,0,modern,professional,0.0325,0.2801,0.6514,0.075,0.0083,0,0.0916,0.9641,-0.890530962,-0.238076678,0.458396245,-0.091951767,1069.594249,0.661341853,4.28115016,0.028753994,0.022364217,0.012779553,313
Absences by Donald Justice,Poet,1925,0,modern,professional,0.0181,0.3272,0.4363,0.1818,0,0,0.1818,0.7818,-0.965515122,-0.432953989,0.699464442,-0.520367756,47.625,0.616071429,4.330357143,0.0625,0.0625,0.017857143,112
Variations On A Text By Vallejo by Donald Justice,Poet,1925,0,modern,professional,0.0276,0.3979,0.5051,0.0919,0.0114,0.0114,0.1149,0.9307,-1.109593258,-0.407226802,0.652894191,-0.35672315,300.1034483,0.524137931,4.020689655,0.04137931,0.044827586,0.013793103,290
After Making Love we Hear Footsteps by Galway Kinnell,Poet,1927,0,modern,professional,0.0282,0.3841,0.418,0.0877,0,0,0.1052,0.8305,-0.967014369,-0.23267898,0.737951588,-0.254534789,381.1388889,0.7,4.305555556,0.027777778,0.016666667,0.038888889,180
Blackberry Eating by Galway Kinnell,Poet,1927,0,modern,professional,0.0322,0.4086,0.7849,0.3333,0,0,0.3333,1.2258,-0.831127586,-0.293743603,0.370543731,0.014689539,295.4361702,0.712765957,4.85106383,0.031914894,0.031914894,0.031914894,94
Thrall by Carolyn Kizer,Poet,1925,0,modern,professional,0.0154,0.3608,0.4793,0.0574,0,0.0114,0.0919,0.8556,-0.793171208,-0.175581098,0.615989445,-0.441480367,132.1794872,0.594871795,4.102564103,0.071794872,0.051282051,0.020512821,195
The Intruder by Carolyn Kizer,Poet,1925,0,modern,professional,0.0327,0.3196,0.7213,0.0476,0.0119,0,0.0714,1.0737,-0.642115367,-0.098958568,0.296253853,-0.06010489,117.26,0.716,4.52,0.052,0.004,0.024,250
Facing It by Yusef Komunyakaa,Poet,1947,0,modern,professional,0.0352,0.3588,0.5,0.0574,0,0,0.0689,0.8941,-0.524992273,0.032619832,0.585390437,-0.381681857,188.0055866,0.597765363,3.955307263,0.039106145,0.022346369,0.016759777,179
Audacity of the Lower Gods by Yusef Komunyakaa,Poet,1947,0,modern,professional,0.0425,0.3085,0.4361,0.1538,0,0,0.1538,0.7872,-0.643901212,-0.228360822,0.614626117,-0.250852901,220.12,0.86,4.42,0.05,0.02,0.01,100
Heaven as Anus by Maxine Kumin,Poet,1925,0,modern,professional,0.0594,0.3837,0.5837,0.1428,0.0793,0,0.2222,1.027,-1.210077414,-0.383804219,0.193077656,0.044604361,277.7043011,0.725806452,4.38172043,0.043010753,0.02688172,0.005376344,186
Nurture by Maxine Kumin,Poet,1925,0,modern,professional,0.0357,0.4214,0.6,0.1176,0.0196,0,0.1372,1.0571,-1.012463858,-0.329270677,0.490856995,-0.182383771,256.5390071,0.744680851,4.425531915,0.014184397,0.021276596,0.028368794,141
The Abduction by Stanley Kunitz,Poet,1905,0,modern,professional,0.0152,0.3688,0.5627,0.0797,0.0072,0,0.0942,0.9467,-1.028762731,-0.326590872,0.62686381,-0.316385847,167.655303,0.640151515,4.352272727,0.049242424,0.022727273,0.018939394,264
