In Trackless Woods by Richard Wilbur,Poet,0,109,0.0
The Singing by C. K. Williams,Poet,0,349,0.0
More Blues and the Abstract Truth by C.D. Write,Poet,1,246,0.00406504065041
Approximately Forever by C.D. Wright,Poet,0,72,0.0
Clear Night by Charles Wright,Poet,0,122,0.0
Lying in a Hammock at William Duffy's Farm in Pine Island Minnesota by James Wright,Poet,0,84,0.0
A Blessing by James Wright,Poet,1,173,0.00578034682081
Only but a dream,Amateur,0,265,0.0
Dr. Heinz Doofenshmirtz,Amateur,4,147,0.0272108843537
Freedom,Amateur,0,67,0.0
The foolish man,Amateur,0,249,0.0
Live for the moment,Amateur,0,85,0.0
Eaten up,Amateur,0,77,0.0
Gates of Goodbye,Amateur,0,153,0.0
true beauty,Amateur,0,100,0.0
A Walk in the Park,Amateur,0,89,0.0
The two of them,Amateur,0,85,0.0
Your life,Amateur,0,154,0.0
Thing we have lost in fire,Amateur,0,71,0.0
Mother Rabbit,Amateur,0,103,0.0
Aurora,Amateur,0,58,0.0
Boy to a man,Amateur,0,120,0.0
Goodbye poem,Amateur,0,128,0.0
Read me,Amateur,0,66,0.0
Angel eyes,Amateur,0,98,0.0
Another Chapter,Amateur,0,107,0.0
Self Reserved,Amateur,0,173,0.0
Yet the sun still sleeps. ,Amateur,0,138,0.0
Let love be as one,Amateur,0,126,0.0
Charlotte Emily and Anne,Amateur,0,115,0.0
Cappuccino,Amateur,0,222,0.0
Pleasure trip,Amateur,0,123,0.0
I thought I knew,Amateur,0,184,0.0
Where is our fate formed?,Amateur,0,93,0.0
Sometimes,Amateur,0,249,0.0
Life,Amateur,0,224,0.0
You can cry,Amateur,1,138,0.00724637681159
Breaking heart,Amateur,0,158,0.0
And a Merry Christmas to You,Amateur,0,244,0.0
Everybody likes my clock,Amateur,0,121,0.0
I nearly fell,Amateur,0,174,0.0
Denial,Amateur,2,71,0.0281690140845
Winter silence,Amateur,0,21,0.0
Demons and scars,Amateur,0,210,0.0
The first time I saw you. ,Amateur,0,179,0.0
Sister,Amateur,0,166,0.0
For Thee,Amateur,1,64,0.015625
Precious Lord,Amateur,0,90,0.0
Love is like,Amateur,2,104,0.0192307692308
Life2,Amateur,0,106,0.0
To Be Young And Naive,Amateur,0,271,0.0
Why I love You,Amateur,0,167,0.0
First Love,Amateur,0,353,0.0
Miss You,Amateur,0,91,0.0
THE END HAD COME,Amateur,0,94,0.0
BABY OF POVERTY,Amateur,1,100,0.01
Broken Home,Amateur,0,123,0.0
My Thoughts On Love,Amateur,0,286,0.0
Take Me Back,Amateur,0,167,0.0
A Friend Is,Amateur,0,79,0.0
THE GARDEN,Amateur,0,142,0.0
Insomnia,Amateur,0,226,0.0
Unrequited Love,Amateur,0,132,0.0
Wavering,Amateur,1,71,0.0140845070423
Garden of Shattered Dreams,Amateur,0,103,0.0
Thinking Of You,Amateur,0,121,0.0
My heart bleeds,Amateur,0,195,0.0
Time Isn't Always a good thing,Amateur,0,114,0.0
Is It Really Love,Amateur,0,162,0.0
Same Ole' Story,Amateur,0,105,0.0
Restored,Amateur,0,162,0.0
Do You?,Amateur,0,154,0.0
Adoption is Love,Amateur,0,62,0.0
Road to Happiness,Amateur,0,184,0.0
Untitled 1,Amateur,0,117,0.0
Reflection,Amateur,0,99,0.0
A DREAM WITHIN A DREAM,Amateur,0,129,0.0
Waiting,Amateur,0,145,0.0
The War,Amateur,0,85,0.0
On a Moonlit Night,Amateur,1,150,0.00666666666667
Traipsing on Bantayan Shore,Amateur,0,191,0.0
you are my angel,Amateur,0,90,0.0
I Know,Amateur,0,242,0.0
The Way That You Left Me,Amateur,0,344,0.0
Waiting for Love,Amateur,0,103,0.0
a love without good-byes,Amateur,1,145,0.00689655172414
Wail of a wave,Amateur,0,169,0.0
Your still here,Amateur,0,202,0.0
Why?,Amateur,0,295,0.0
Always on my mind.,Amateur,0,76,0.0
Lonely in the dark room ",Amateur,0,121,0.0
Untitled 2,Amateur,0,96,0.0
As One,Amateur,0,77,0.0
life goes on,Amateur,0,63,0.0
Everlasting Love,Amateur,0,77,0.0
ethics of the blacks,Amateur,1,51,0.0196078431373
Hazed Maze,Amateur,0,163,0.0
ME AND YOU,Amateur,0,98,0.0
When you left,Amateur,0,109,0.0
"MAGIC",Amateur,0,107,0.0
TOGETHER. FOREVER!,Amateur,0,95,0.0
YOU ARE MY EVERYTHING,Amateur,0,104,0.0
Believe in Miracles !,Amateur,0,77,0.0
A Lie,Amateur,0,114,0.0
I love you,Amateur,0,166,0.0
"It",Amateur,0,105,0.0
Memories,Amateur,0,168,0.0
Growing Old by Matthew Arnold,19th,1,226,0.00442477876106
Twenty-First. Night. Monday by Anna Akhmatova,19th,0,80,0.0
Autumnal Sonnet by William Allingham,19th,1,113,0.00884955752212
