Poem/poet	wordCount	$Freq	'Freq	"""Freq"	(Freq	)Freq	",Freq"	#NAME?	?Freq	!Freq	.Freq	:Freq	;Freq	...Freq	CCFreq	CDFreq	DTFreq	EXFreq	FWFreq	INFreq	JJFreq	JJRFreq	JJSFreq	LSFreq	MDFreq	NNFreq	NNPFreq	NNPSFreq	properNounFreq	NNSFreq	PDTFreq	POSFreq	PRPFreq	PRP$Freq	RBFreq	RBRFreq	RBSFreq	RPFreq	SYMFreq	TOFreq	UHFreq	VBFreq	VBDFreq	VBGFreq	VBNFreq	VBPFreq	VBZFreq	WDTFreq	WPFreq	WP$Freq	WRBFreq	numLines	avgLineLength	1SGNFreq	2SGNFreq	3SGMFreq	3SGFFreq	3SGNFreq	1PLNFreq	2PLNFreq	3PLNFreq	contractionsFreq	avgWordLength	alliterationFreq	assonanceFreq	consonanceFreq	slantEndRhymeFreq	semiEndRhymeFreq	perfectEndRhymeFreq	identityEndRhymeFreq	adjFreq	nounFreq	verbFreq	conjFreq	topNounFreq	topAdjFreq	topVerbFreq	numStanzas	avgLinesPerStanza	comparativesFreq	soundDevicesFreq	partialEndRhymeFreq	fullEndRhymeFreq	endRhymeFreq
Sister/Amateur	0.4555	0	0	0	0	0	0.0303	0	0	0	0.1333	0	0.0121	0	0.0545	0.0181	0.0181	0	0	0.0787	0.0363	0	0	0	0.0545	0.1636	0.0424	0	0.0424	0.0484	0.006	0	0.103	0.0787	0.0787	0	0	0	0	0.0121	0.006	0.1272	0.006	0.006	0	0.0424	0.0121	0	0.006	0	0	0.3625	0.3195	0.0666	0.0848	0.006	0.006	0.006	0.0121	0	0	0	0.1236	0.0304	0.2134	0.4695	0.0476	0.0158	0.0952	0.0158	0.0545	0.2545	0.1878	0.1333	0.0303	0.0121	0.0242	0.05	1	0	0.7134	0.0634	0.1111	0.1746
ForThee/Amateur	0.3049	0	0	0	0	0	0.0476	0	0	0	0.0476	0	0	0	0	0	0.0476	0	0	0.1428	0.0317	0	0.0158	0	0.0317	0.2539	0	0	0	0.0158	0	0	0.1111	0.0634	0.0158	0	0	0	0	0.0317	0	0.0634	0.0476	0	0	0.0317	0.0158	0.0317	0	0	0.0476	0.2222	0.2562	0.1111	0.0634	0	0	0	0	0	0	0	0.1174	0	0.2741	0.3548	0.1666	0	0.0333	0.0333	0.0476	0.2698	0.1587	0.1428	0.0634	0.0158	0.0317	0.05	1	0.0158	0.629	0.1666	0.0666	0.2333
PreciousLord/Amateur	0.3491	0	0	0.0222	0.0111	0.0111	0.0222	0	0	0.0444	0.0666	0.0111	0	0	0.0555	0.0111	0.0444	0	0	0.1222	0.0666	0	0	0	0	0.1666	0.1	0	0.1	0.0222	0	0	0.0666	0.0777	0.0222	0	0	0	0	0.0222	0	0.0666	0.0333	0	0.0444	0.0222	0.0555	0	0	0	0.0111	0.2222	0.3249	0.1222	0	0.0222	0	0	0	0	0	0.0111	0.1207	0.0561	0.2471	0.7752	0.1666	0	0.0666	0	0.0777	0.2888	0.1777	0.1777	0.0555	0.0111	0.0333	0.15	0.55	0	1.0786	0.1666	0.0666	0.2333
Loveislike/Amateur	0.3721	0	0	0	0	0	0.125	0	0	0	0.048	0	0	0	0.0384	0.0192	0.0865	0	0	0.125	0.0288	0	0	0	0	0.1923	0	0	0	0.0192	0.0096	0	0.1442	0.0288	0.0576	0.0192	0	0.0096	0	0.0192	0	0.0384	0.0096	0.0096	0	0.0865	0.0384	0	0	0	0.0192	0.2666	0.3083	0.0288	0.0961	0	0	0.0192	0.0096	0	0.0192	0	0.1153	0.0582	0.398	0.3786	0.119	0.0238	0.0952	0	0.048	0.2115	0.173	0.1634	0.0288	0.0096	0.0192	0.05	1	0.0192	0.8349	0.1428	0.0952	0.238
Life2/Amateur	0.3754	0	0	0	0	0	0.132	0	0.0188	0	0.0471	0	0	0	0.0471	0	0.0754	0.0094	0	0.0943	0.0377	0	0.0094	0	0.0377	0.1226	0.0188	0	0.0188	0.1037	0	0	0.1132	0.0471	0.0094	0	0.0094	0	0	0.0471	0	0.066	0.0377	0	0.0094	0.0754	0.0094	0.0094	0	0	0.0094	0.375	0.2104	0	0	0	0	0.0094	0.1415	0	0.0094	0	0.1157	0.038	0.1619	0.5142	0.0757	0.0303	0.0454	0	0.0471	0.2452	0.1886	0.1415	0.0188	0.0094	0.0283	0.4666	0.35	0.0188	0.7142	0.106	0.0454	0.1515
ToBeYoungAndNaive/Amateur	0.5576	0	0	0	0	0	0.0795	0	0	0	0.053	0	0	0	0.0643	0.0113	0.0833	0	0	0.0719	0.0795	0	0.0151	0	0.0265	0.1893	0.0303	0	0.0303	0.0265	0	0	0.0681	0.0189	0.0681	0.0037	0	0.0037	0	0.0416	0	0.0833	0.0113	0.0113	0.0037	0.0303	0.0227	0	0.0037	0	0.0265	0.4187	0.4107	0	0.0681	0	0	0.0151	0	0	0.0037	0	0.2148	0.0304	0.2775	0.5323	0.0256	0	0.1666	0	0.106	0.2462	0.1477	0.1363	0.0189	0.0151	0.0151	0.5333	0.35	0.0189	0.8403	0.0256	0.1666	0.1923
WhyIloveYou/Amateur	0.4555	0	0	0.0121	0	0	0.0121	0	0.006	0	0.0606	0	0	0	0.0484	0.006	0.0666	0	0	0.103	0.0424	0	0	0	0.0242	0.0848	0.006	0	0.006	0.0363	0	0	0.2606	0.0303	0.0484	0	0	0.006	0	0.0242	0.006	0.0484	0.0242	0	0.006	0.0848	0.0363	0.006	0.006	0	0.0121	0.2555	0.4666	0.1393	0.0545	0.0848	0	0.0121	0	0	0	0.0181	0.0744	0.0121	0.25	0.3109	0.0769	0.0256	0.0256	0.0256	0.0484	0.1272	0.1939	0.1515	0.0181	0.0121	0.0424	0.35	0.3375	0	0.5731	0.1025	0.0512	0.1538
FirstLove/Amateur	0.6269	0	0	0	0	0	0.0431	0	0.0086	0	0	0	0	0	0.0545	0	0.0373	0	0	0.066	0.0258	0.0086	0	0	0.0229	0.112	0.0057	0	0.0057	0.0229	0	0	0.2183	0.0574	0.0747	0	0	0.0028	0	0.0316	0.0028	0.0747	0.0172	0.0143	0.0143	0.1063	0.0402	0.0057	0.0028	0	0.0287	0.5047	0.3621	0.1522	0.1091	0	0	0.0114	0.0028	0	0	0.0488	0.1074	0.0403	0.2017	0.4149	0.0854	0.0085	0.0512	0.0085	0.0344	0.1408	0.2385	0.1206	0.0172	0.0057	0.0201	0.05	1	0.0086	0.657	0.094	0.0598	0.1538
MissYou/Amateur	0.3508	0	0	0	0	0	0.0219	0	0	0	0	0	0	0	0.0549	0	0.0659	0.0109	0	0.1318	0.0329	0	0	0	0.0109	0.0769	0.0219	0	0.0219	0.0439	0	0	0.1208	0.0659	0.1758	0	0	0	0	0	0	0	0	0.0109	0.0219	0.1098	0.0109	0	0	0	0.0329	0.2555	0.3011	0.0879	0.0879	0	0	0	0.0109	0	0	0	0.1194	0.0333	0.2	0.3555	0.0512	0	0	0	0.0329	0.1428	0.1208	0.1868	0.0109	0.0109	0.0549	0.05	1	0	0.5888	0.0512	0	0.0512
THEENDHADCOME/Amateur	0.3557	0	0	0	0	0	0.1276	0	0	0	0.0425	0	0	0	0.0212	0	0.0957	0	0	0.1063	0.0531	0.0106	0	0	0.0212	0.1595	0	0	0	0.0106	0	0	0.1063	0.0212	0.0851	0	0	0.0106	0	0.0425	0	0.0744	0.0957	0.0212	0.0319	0.0212	0.0106	0	0	0	0	0.2222	0.3305	0.0744	0.0106	0.0106	0	0.0319	0	0	0	0	0.1141	0.0107	0.215	0.301	0	0	0.2333	0	0.0638	0.1702	0.2021	0.1276	0.0212	0.0212	0.0531	0.05	1	0.0106	0.5268	0	0.2333	0.2333
BABYOFPOVERTY/Amateur	0.3622	0	0	0	0	0	0.1836	0	0	0	0.0102	0	0.0102	0	0.0204	0	0.1326	0	0	0.1428	0.0714	0	0	0	0	0.2142	0.0306	0	0.0306	0.0612	0	0	0.0306	0.0408	0.051	0	0	0	0	0.051	0	0.0306	0.0306	0.0204	0.0408	0	0.0306	0	0	0	0	0.325	0.2225	0	0	0.0714	0	0	0	0	0	0	0.3006	0.0412	0.3814	0.4123	0.1296	0	0	0.0555	0.0714	0.3061	0.0918	0.1632	0.0306	0.0204	0.0204	0.05	1	0	0.835	0.1296	0.0555	0.1851
BrokenHome/Amateur	0.395	0	0	0	0	0	0.0593	0	0	0	0.1101	0	0	0	0.0338	0	0.0847	0.0084	0	0.1016	0.0338	0.0084	0	0	0.0338	0.1186	0.0338	0	0.0338	0.0254	0	0	0.1271	0.0508	0.0847	0	0	0	0	0.0084	0	0.1101	0	0.0254	0	0.0677	0.0254	0	0.0084	0	0.0084	0.325	0.2725	0.0677	0.0169	0	0.0762	0.0169	0	0	0	0	0.1293	0.0256	0.2649	0.2307	0.1111	0	0.1481	0	0.0423	0.1779	0.2033	0.1355	0.0169	0.0084	0.0254	0.4333	0.35	0.0084	0.5213	0.1111	0.1481	0.2592
MyThoughtsOnLove/Amateur	0.5756	0	0	0	0	0	0.0809	0.014	0.0105	0	0.0352	0	0.0105	0	0.0316	0.0035	0.0457	0	0	0.1056	0.0211	0	0.0035	0	0.0211	0.0809	0.0105	0	0.0105	0.0281	0	0	0.1936	0.0105	0.1021	0	0	0	0	0.0457	0	0.0845	0.0316	0.0281	0.0316	0.0704	0.0352	0	0.0246	0	0.007	0.4687	0.3314	0.007	0.0528	0.0105	0	0.0774	0.0457	0	0.0105	0.0176	0.1253	0.0318	0.3321	0.5229	0.049	0.0098	0	0.1862	0.0281	0.1197	0.2218	0.1373	0.0211	0.007	0.0281	0.05	1	0.0035	0.8869	0.0588	0.1862	0.245
TakeMeBack/Amateur	0.4604	0	0	0	0	0	0	0	0	0	0	0	0	0.071	0.0118	0.0177	0.0769	0.0059	0	0.1005	0.0295	0	0.0059	0.0059	0.0414	0.0828	0	0	0	0.0236	0	0	0.1775	0.0532	0.1005	0	0	0	0	0.0236	0	0.0887	0.0177	0.0177	0	0.0591	0.0295	0.0059	0.0118	0	0.0059	0.2888	0.4097	0.1242	0.0591	0	0	0.0177	0.0295	0	0	0.0177	0.075	0.0238	0.1607	0.3214	0.0625	0	0.0208	0.0208	0.0532	0.1065	0.1952	0.1124	0.0177	0.0059	0.0236	0.05	1	0.0059	0.5059	0.0625	0.0416	0.1041
AFriendIs/Amateur	0.3311	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0126	0.0126	0.1265	0.0506	0	0.0886	0.0126	0	0	0	0.0379	0.1645	0	0	0	0.0126	0.0126	0	0.1012	0.0126	0.0379	0	0	0	0	0.0506	0	0.1012	0.0253	0.0126	0	0	0.0759	0.0126	0.0126	0	0.0253	0.2444	0.266	0	0.1139	0	0	0	0	0	0	0	0.1223	0.0256	0.3846	0.3974	0.1111	0	0.1111	0	0.0253	0.1772	0.2025	0.1012	0.0759	0.0126	0.0759	0.4333	0.24	0	0.8076	0.1111	0.1111	0.2222
THEGARDEN/Amateur	0.4259	0	0	0	0	0	0.0283	0	0	0.0141	0.007	0	0.0425	0	0.0709	0	0.1134	0	0	0.1418	0.0851	0	0	0	0.0141	0.1347	0	0	0	0.078	0	0	0.0851	0.0141	0.0212	0	0	0	0	0.0425	0.0141	0.0567	0	0.0283	0.007	0.0425	0.0354	0	0	0	0.0141	0.2666	0.3703	0.0638	0	0	0	0.0354	0	0	0	0	0.1328	0.0214	0.4	0.4	0.0238	0	0	0.0238	0.0851	0.2127	0.1347	0.2127	0.0283	0.0141	0.0212	0.25	0.5166	0	0.8214	0.0238	0.0238	0.0476
Insomnia/Amateur	0.5207	0	0	0	0	0	0.0269	0	0.0044	0	0.1345	0	0	0	0.0358	0.0044	0.0986	0	0	0.0762	0.0313	0.0044	0	0	0.0044	0.1255	0.0313	0	0.0313	0.0538	0	0	0.0896	0.0044	0.0717	0	0	0.0179	0	0.0538	0.0089	0.0807	0.0089	0.0627	0.0134	0.0672	0.0448	0	0.0044	0	0.0044	0.4687	0.3032	0.0807	0.0044	0	0	0.0044	0	0	0.0044	0	0.2014	0.0225	0.3513	0.4009	0.0588	0	0.2058	0.0098	0.0403	0.2107	0.2017	0.1121	0.0179	0.0089	0.0403	0.62	0.35	0.0044	0.7747	0.0588	0.2156	0.2745
UnrequitedLove/Amateur	0.4123	0	0	0	0	0	0.1076	0	0	0.0076	0.0384	0	0.0076	0.023	0.023	0	0.1076	0.0153	0	0.1384	0.0923	0	0	0	0	0.2153	0.0076	0	0.0076	0.0692	0	0	0.0384	0.0692	0.0538	0	0	0	0	0.0076	0.0076	0	0.0615	0.0538	0.0307	0	0.0076	0	0	0	0	0.3625	0.2663	0.0923	0.0153	0	0	0	0	0	0	0	0.3297	0	0.4651	0.3875	0.0952	0.0158	0.0158	0	0.0923	0.2923	0.0692	0.1615	0.023	0.0076	0.023	0.4333	0.43	0	0.8527	0.1111	0.0158	0.1269
Wavering/Amateur	0.3147	0	0	0	0	0	0.0724	0	0	0	0	0	0.0579	0	0.0289	0	0.0869	0	0	0.1014	0.0724	0	0	0	0	0.2173	0.0144	0	0.0144	0.0289	0	0	0.0579	0.0724	0.1304	0	0	0	0	0.0144	0	0.0289	0.0144	0.0434	0.0434	0.0144	0.0144	0	0	0	0	0.325	0.1612	0.0434	0.0579	0	0	0.0144	0.0144	0	0	0	0.3265	0.0147	0.4558	0.8529	0.074	0	0.0925	0	0.0724	0.2608	0.0724	0.1304	0.0144	0.0144	0.0144	0.4333	0.35	0	1.3235	0.074	0.0925	0.1666
GardenofShatteredDreams/Amateur	0.3688	0	0	0	0	0	0	0	0	0	0.0098	0	0	0	0.0098	0	0.098	0	0	0.1176	0.0686	0.0098	0	0	0.0196	0.1176	0.0294	0.0098	0.0392	0.1176	0	0	0.0294	0.0196	0.0882	0.0098	0	0.0098	0	0	0	0.0196	0.049	0.0392	0.0686	0.0196	0.0294	0.0196	0	0	0	0.2666	0.3062	0.0392	0	0	0	0.0098	0	0	0	0	0.3222	0.0495	0.297	0.5445	0.119	0.0238	0	0	0.0784	0.2745	0.1176	0.1274	0.0196	0.0098	0.0196	0.35	0.35	0.0196	0.891	0.1428	0	0.1428
ThinkingOfYou/Amateur	0.3983	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333	0.0166	0.0416	0	0	0.0666	0.0666	0.0083	0.0083	0	0.05	0.1166	0.025	0	0.025	0.0666	0	0	0.1166	0.0333	0.0916	0	0	0.0083	0	0.0166	0	0.0583	0.0916	0.025	0	0.025	0.0083	0.0083	0	0	0.0166	0.2444	0.3642	0.0583	0.0166	0	0	0	0.075	0	0	0	0.1205	0.042	0.3445	0.3445	0.0555	0	0.1111	0	0.1	0.2083	0.1833	0.1	0.025	0.0083	0.025	0.35	0.325	0.0166	0.731	0.0555	0.1111	0.1666
Myheartbleeds/Amateur	0.4839	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265	0	0.1329	0	0	0.0851	0.101	0	0	0	0	0.1968	0.0053	0	0.0053	0.1117	0	0	0.0265	0.0478	0.0425	0	0	0.0106	0	0.0053	0	0.0159	0.0585	0.0212	0.0478	0	0	0	0.0638	0	0	0.375	0.3305	0.0319	0.0212	0.0053	0.0106	0	0.0053	0	0	0	0.2209	0.0374	0.3689	0.4438	0.0757	0	0.0909	0.0151	0.101	0.3138	0.0744	0.1117	0.0531	0.0053	0.0212	0.35	0.55	0	0.8502	0.0757	0.106	0.1818
TimeIsn'tAlwaysagoodthing/Amateur	0.3836	0	0	0	0	0	0.009	0	0	0	0.045	0	0	0	0.036	0	0.1171	0	0	0.1441	0.099	0	0	0	0.054	0.2162	0.027	0	0.027	0	0	0	0.063	0.018	0.027	0	0	0	0	0.009	0.009	0.081	0.009	0.018	0.018	0.027	0.009	0	0	0	0.018	0.2333	0.3634	0	0	0.009	0	0.009	0.063	0	0	0	0.1033	0.0181	0.3454	0.2818	0.1515	0.1515	0.1515	0	0.099	0.2432	0.1261	0.1801	0.018	0.009	0.045	0.5333	0.1428	0	0.6454	0.303	0.1515	0.4545
IsItReallyLove/Amateur	0.4518	0	0	0	0	0	0.0123	0	0.0246	0	0	0	0	0	0.0802	0	0.0987	0	0	0.0987	0.0432	0	0.0061	0	0.0123	0.1666	0.0185	0	0.0185	0.0493	0	0	0.1111	0.0308	0.0617	0	0	0	0	0.0308	0	0.0246	0.0246	0.0246	0	0.0679	0.037	0.0061	0	0	0.0061	0.4062	0.3038	0.0555	0.0493	0	0	0.0308	0.0061	0	0	0	0.1275	0.0372	0.4534	0.4968	0.0416	0.0277	0.0972	0.0138	0.0493	0.2345	0.1543	0.179	0.0123	0.0123	0.0246	0.4666	0.4166	0.0061	0.9875	0.0694	0.1111	0.1805
SameOle'Story/Amateur	0.3721	0	0	0	0	0	0.0961	0	0	0	0.0769	0	0	0	0.0865	0.0096	0.125	0	0	0.0673	0.0096	0	0	0	0.0384	0.1346	0	0	0	0.0384	0	0	0.0961	0.0576	0.0192	0	0	0.0288	0	0.0096	0	0.0673	0	0.0673	0	0.0769	0.0576	0	0	0	0.0096	0.2444	0.3238	0	0.1057	0	0.0384	0.0096	0	0	0	0	0.1128	0.0776	0.2718	0.5339	0.0277	0	0	0	0.0192	0.173	0.2019	0.1538	0.0192	0.0096	0.048	0.05	1	0	0.8834	0.0277	0	0.0277
Restored/Amateur	0.4493	0	0	0	0	0	0.1062	0	0	0	0.0562	0	0	0	0.0312	0.0062	0.0562	0.0062	0	0.0875	0.075	0.0187	0	0	0.0125	0.1562	0.0125	0	0.0125	0.0125	0	0	0.1437	0.0375	0.0625	0	0	0	0	0.05	0.0062	0.0687	0.0437	0.0062	0.0125	0.0312	0.0437	0	0	0	0.0187	0.35	0.3212	0.0875	0.0812	0	0	0.0125	0	0	0	0	0.2066	0.0125	0.2893	0.3962	0.0666	0.0166	0.1333	0.0166	0.1	0.1812	0.1875	0.1187	0.0125	0.0187	0.0375	0.4333	0.42	0.0187	0.6981	0.0833	0.15	0.2333
DoYou?/Amateur	0.4419	0	0	0	0	0	0.0714	0	0.0584	0	0.0324	0	0	0	0.0194	0	0.0844	0	0	0.1038	0.0454	0	0	0	0.0064	0.1233	0	0	0	0.0129	0.0129	0	0.1428	0.0259	0.0194	0	0	0	0	0.0584	0	0.0779	0.0064	0.0324	0.0324	0.1558	0.0259	0.0129	0	0	0	0.375	0.3069	0.0714	0.0974	0	0	0	0	0	0	0	0.1216	0.013	0.2679	0.3529	0.0757	0.0757	0.0454	0.0606	0.0454	0.1363	0.2662	0.1233	0.0259	0.0064	0.0519	0.35	0.55	0	0.6339	0.1515	0.106	0.2575
AdoptionisLove/Amateur	0.2923	0	0	0	0	0	0.0338	0	0	0.0169	0.0338	0	0	0	0.0169	0	0.0847	0	0	0.2033	0.0338	0.0338	0.0169	0	0.0169	0.1525	0.1016	0	0.1016	0.0508	0	0	0.0508	0	0.0338	0	0	0	0	0.0169	0	0.0169	0	0	0.0508	0.0338	0.0847	0	0	0	0	0.1833	0.2725	0	0.0169	0	0	0.0338	0	0	0	0	0.3005	0.0344	0.5344	0.4137	0.0416	0	0.1666	0.0416	0.0847	0.305	0.1355	0.2203	0.0677	0.0169	0.0677	0.05	0.95	0.0508	0.9827	0.0416	0.2083	0.2499
RoadtoHappiness/Amateur	0.479	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0706	0.0108	0.1032	0	0	0.1304	0.0326	0	0.0108	0	0	0.1195	0.0271	0	0.0271	0.0217	0	0	0.1304	0.0217	0.0543	0	0	0	0	0.0434	0	0.0271	0.0869	0.0108	0.0108	0.0434	0.0217	0.0054	0.0163	0	0	0.519	0.2045	0.0815	0	0.0489	0.0054	0	0.0054	0	0.0108	0	0.1112	0.0273	0.2185	0.459	0.0555	0.0079	0.0555	0.0079	0.0543	0.1684	0.1793	0.201	0.0163	0.0108	0.0163	0.05	1	0.0108	0.7049	0.0634	0.0634	0.1269
Untitled1/Amateur	0.3934	0	0	0	0	0	0.0085	0	0.0341	0	0.0341	0	0	0	0.0512	0	0.0598	0	0	0.0769	0.017	0.017	0	0	0.017	0.1282	0	0	0	0.0085	0	0	0.188	0.0683	0.0512	0	0	0	0	0.017	0	0.0598	0.1538	0	0.0085	0.017	0	0.0085	0.017	0	0.0341	0.2444	0.3589	0	0.1025	0	0.1367	0.017	0	0	0	0	0.1247	0.0344	0.1637	0.4224	0	0	0.1944	0	0.0341	0.1367	0.2307	0.1282	0.017	0.0085	0.0256	0.35	0.325	0.017	0.6206	0	0.1944	0.1944
Reflection/Amateur	0.3639	0	0	0	0	0	0.0606	0	0	0	0.0707	0.0101	0.0202	0	0.0404	0	0.0707	0.0101	0	0.0909	0.1111	0	0	0	0	0.1515	0	0	0	0.0808	0	0	0.0808	0.0909	0.0505	0	0	0.0101	0	0.0202	0	0.0202	0.1313	0	0.0303	0	0	0	0	0	0.0101	0.2333	0.3269	0.0707	0	0	0.0808	0.0202	0	0	0	0	0.202	0.0204	0.3163	0.5408	0.1212	0.0303	0	0	0.1111	0.2323	0.1515	0.1313	0.0303	0.0101	0.0404	0.05	1	0	0.8775	0.1515	0	0.1515
ADREAMWITHINADREAM/Amateur	0.4111	0	0	0	0	0	0.0155	0.0155	0.0155	0.0232	0	0	0	0	0.0542	0.0077	0.124	0	0	0.1627	0.0542	0	0	0	0.0077	0.186	0	0	0	0.031	0	0	0.093	0.0232	0.062	0.0077	0	0	0	0.0155	0	0.0232	0	0	0.0232	0.0697	0.031	0	0.0077	0	0.0155	0.35	0.2715	0.0697	0.0155	0	0	0.0077	0.0155	0	0.0077	0	0.0759	0.0234	0.3593	0.3593	0.0166	0	0.1333	0	0.062	0.217	0.124	0.217	0.0387	0.0077	0.0232	0.05	1	0.0077	0.7421	0.0166	0.1333	0.15
Waiting/Amateur	0.4259	0	0	0	0	0	0.1063	0	0	0	0.0638	0	0	0.007	0.078	0	0.0496	0	0	0.1347	0.0638	0.007	0	0	0	0.1063	0.0638	0	0.0638	0.0141	0	0	0.1205	0.007	0.0638	0	0	0.007	0	0.0354	0	0.0851	0.0141	0.078	0	0.0496	0.0141	0	0.007	0	0	0.3625	0.3021	0.0567	0.0638	0	0	0.007	0	0	0	0	0.2146	0.0214	0.2642	0.3928	0.0634	0	0.0952	0	0.0709	0.1843	0.1631	0.2127	0.0425	0.0141	0.0425	0.05	1	0.007	0.6785	0.0634	0.0952	0.1587
TheWar/Amateur	0.3393	0	0	0	0	0	0	0	0	0	0.0833	0	0	0	0.0238	0	0.0952	0	0	0.0833	0.0714	0	0	0	0.0476	0.0714	0.0238	0	0.0238	0.1071	0	0	0.0714	0.0357	0.0714	0	0	0	0	0.0357	0	0.119	0	0.0476	0.0119	0.0476	0.0119	0	0	0	0.0238	0.2111	0.3272	0	0	0	0	0.0119	0.0357	0	0.0595	0	0.2277	0.0481	0.3373	0.3855	0.1481	0	0.074	0	0.0714	0.2023	0.1785	0.1071	0.0238	0.0238	0.0238	0.05	1	0	0.771	0.1481	0.074	0.2222
OnaMoonlitNight/Amateur	0.4358	0	0	0	0	0	0.0268	0	0.0067	0	0.0469	0	0.0067	0	0.0402	0	0.0805	0	0	0.1476	0.1006	0	0	0	0	0.1946	0.0201	0	0.0201	0.0805	0	0	0.0604	0.0402	0.0469	0	0	0.0067	0	0.0201	0	0.0201	0.0201	0.0268	0.0067	0.0402	0.0201	0	0	0	0.0067	0.4187	0.258	0.0604	0	0	0	0.0067	0	0	0.0335	0	0.3261	0.0743	0.4256	0.5743	0.0512	0	0.0128	0	0.1006	0.2953	0.1006	0.1879	0.0201	0.0134	0.0134	0.4666	0.4333	0	1.0743	0.0512	0.0128	0.0641
TraipsingonBantayanShore/Amateur	0.4876	0	0	0	0	0	0.0261	0	0	0	0.0471	0	0.0052	0.0052	0.0471	0	0.068	0	0	0.1151	0.0471	0.0052	0	0	0.0052	0.1727	0.0104	0	0.0104	0.0785	0	0	0.0732	0.0523	0.0837	0	0	0.0052	0	0.0314	0	0.0261	0.0575	0.0157	0.0209	0.0157	0.0157	0.0052	0.0052	0	0.0209	0.4937	0.2193	0.0418	0	0.0104	0	0.0261	0.0471	0	0	0	0.202	0.0368	0.2105	0.4789	0.0701	0.0087	0.0087	0	0.0523	0.2617	0.1151	0.1623	0.0157	0.0104	0.0157	0.64	0.35	0.0052	0.7263	0.0789	0.0087	0.0877
youaremyangel/Amateur	0.3491	0	0	0	0	0	0.1333	0	0.0111	0	0.0555	0	0	0	0.0222	0	0.1	0	0	0.0666	0.0111	0	0	0	0.0888	0.1	0	0	0	0.0333	0	0	0.1777	0.0333	0.0777	0	0	0	0	0	0	0.1	0.0666	0	0.0444	0.0444	0.0111	0	0.0222	0	0.0111	0.3125	0.2184	0.1	0.0777	0	0	0.0333	0	0	0	0.0111	0.1007	0.0449	0.2022	0.3146	0.098	0	0.0588	0.0392	0.0111	0.1333	0.2222	0.0888	0.0111	0.0111	0.0444	0.05	1	0	0.5617	0.098	0.098	0.196
IKnow/Amateur	0.536	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0.0166	0.0791	0	0	0.0625	0.0291	0.0041	0	0	0.0166	0.1083	0.0083	0	0.0083	0.025	0.0083	0	0.2375	0.025	0.0208	0	0	0	0	0.025	0	0.0791	0.0375	0.0125	0.0166	0.175	0.0041	0	0.0166	0	0.0041	0.375	0.425	0.1791	0.0583	0	0	0.0125	0.0083	0	0.0041	0.05	0.1033	0.0167	0.251	0.3096	0.0909	0	0.1666	0.0303	0.05	0.1416	0.2958	0.1	0.0166	0.0041	0.0833	0.05	1	0.0041	0.5774	0.0909	0.1969	0.2878
TheWayThatYouLeftMe/Amateur	0.6226	0	0	0	0	0	0.0029	0	0.0058	0	0	0	0	0	0.0614	0.0087	0.0701	0	0	0.0994	0.0438	0.0087	0	0	0.0146	0.0818	0.0058	0	0.0058	0.0116	0	0	0.2017	0.0292	0.0701	0.0029	0	0	0	0.0263	0.0029	0.0526	0.0818	0.0058	0.0087	0.0584	0.0263	0.0029	0.0029	0	0.0204	0.5238	0.3266	0.1111	0.0906	0	0.0058	0.0146	0.0029	0	0.0058	0	0.1058	0.041	0.2434	0.387	0.0387	0	0.0387	0.0697	0.0614	0.0994	0.2192	0.1608	0.0087	0.0087	0.0175	0.05	1	0.0116	0.6715	0.0387	0.1085	0.1472
WaitingforLove/Amateur	0.3655	0	0	0	0	0	0.12	0	0	0	0.06	0	0	0.02	0.02	0	0.07	0	0	0.13	0.02	0	0	0	0.01	0.07	0.02	0	0.02	0.07	0	0	0.18	0.03	0.07	0	0	0.01	0	0.02	0	0.03	0.02	0.07	0.02	0.1	0.01	0.01	0	0	0.03	0.2222	0.3583	0.12	0.08	0	0	0	0.01	0	0	0.01	0.1306	0.0606	0.2626	0.3131	0.0333	0	0.1666	0.0333	0.02	0.16	0.16	0.15	0.02	0.01	0.02	0.05	1	0	0.6363	0.0333	0.1999	0.2333
alovewithoutgood-byes/Amateur	0.4271	0	0	0.0281	0	0	0.1338	0	0.014	0	0.0352	0	0	0	0.0352	0.007	0.1197	0	0	0.0915	0.0633	0	0	0	0	0.1619	0.007	0	0.007	0.0704	0	0	0.0563	0.0281	0.0563	0	0	0	0	0.0352	0	0.0633	0.007	0.0352	0.0422	0.0563	0.0352	0	0.007	0	0.007	0.3875	0.267	0.0845	0	0	0	0	0	0	0	0	0.222	0.0425	0.2553	0.617	0.0869	0.0144	0.0869	0	0.0704	0.2394	0.1619	0.1267	0.007	0.014	0.007	0.05	1	0	0.9148	0.1014	0.0869	0.1884
