Type,Poem/poet,wordCount,avgWordLength,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,soundDevicesFreq,endRhymeFreq,concreteness,imageability,valence,arousal,typeTokenRatio,logWordFreq,objectWords,absWords
19thPoet,"TheWindow,byConradAiken/19th",0.5216,0.1258,0.0224,0.408,0.4215,0.049,0.0686,0.852,0.1568,2.816699507,366.0248447,5.930422535,4.009295775,0.473214286,2.074862516,0.035714286,0.022321429
19thPoet,"Sonnet32-Thefirsttimethatthesunroseonthineoath,byElizabethBarrettBrowning/19th",0.4024,0.2229,0.0165,0.2231,0.7851,0.0833,0.1388,1.0247,0.2222,2.476813187,323.1621622,6.016666667,4.018181818,0.735042735,2.149418599,0.025641026,0.034188034
19thPoet,"MyLastDuchess,byRobertBrowning/19th",0.7044,0.2152,0.0218,0.2663,0.5262,0.0617,0.1419,0.8144,0.2037,2.479392265,324.5590278,5.843451327,3.877964602,0.595505618,2.350138656,0.042696629,0.015730337
19thPoet,"MyEarlierLife,byCharlesBaudelaire/19th",0.395,0.2305,0.0341,0.4957,0.3846,0.0555,0.0555,0.9145,0.1388,2.356170213,300.8955224,5.926129032,4.107741935,0.728813559,2.762828038,0.008474576,0.025423729
19thPoet,"TheSouthCountry,byHilaireBelloc/19th",0.6659,0.1186,0.0174,0.3482,0.4776,0.0402,0.1091,0.8432,0.1666,2.596532951,334.8778878,5.997857143,3.850952381,0.473815461,2.028715598,0.047381546,0.02244389
19thPoet,"TheGeneralPublic,byStephenVincentBenet/19th",0.6262,0.2155,0.0491,0.2745,0.4797,0.0975,0.0081,0.8034,0.1056,2.705244755,353.2242152,5.626344086,3.880860215,0.598853868,2.476760975,0.028653295,0.011461318
19thPoet,"EpitaphForARomanticWoman,byLouiseBogan/19th",0.2615,0.3137,0.02,0.3,0.56,0.1666,0.1111,0.88,0.2777,2.703421053,377.7142857,5.881666667,4.614166667,0.826923077,2.226553546,0.019230769,0
19thPoet,"Victory,byRupertBrooke/19th",0.3704,0.4012,0.0686,0.3725,0.647,0.0277,0.1111,1.0882,0.1388,2.496823529,344.9661017,5.371176471,4.143235294,0.777777778,2.472077214,0.02020202,0.01010101
19thPoet,"INeverLovedYouMore,byBertoltBrecht/19th",0.3688,0.2032,0.0198,0.396,0.4356,0.0333,0,0.8514,0.0666,2.734074074,363.6567164,6.1448,3.95,0.588235294,2.062035822,0,0.049019608
19thPoet,"Stanza,byEmilyBronte/19th",0.4419,0.3112,0.0326,0.3856,0.5228,0.0185,0.1481,0.9411,0.2222,2.475967742,321.2277228,5.807391304,4.117173913,0.756578947,2.340436066,0.006578947,0.026315789
19thPoet,"TheMissionary,byCharlotteBronte/19th",0.9026,0.2254,0.0419,0.3372,0.6608,0.0828,0.1082,1.0399,0.1932,2.566459854,337.7583466,5.471311475,4.224480874,0.547972305,2.4466616,0.039564787,0.035608309
19thPoet,"Dora,byThomasEdwardBrown/19th",0.3573,0.1087,0,0.2021,0.5531,0,0.1944,0.7553,0.1944,2.662470588,358.0441176,5.723214286,4.147142857,0.684210526,2.385827369,0.021052632,0
19thPoet,"MyFeet,byGelettBurgess/19th",0.145,0.12,0,0.0833,0.3333,0,0,0.4166,0,3.238181818,366.2,5.79,3.96,0.8,1.927165825,0,0.04
19thPoet,"TheStranger,byAleksandrBlok/19th",0.6191,0.3097,0.0178,0.4345,0.5982,0.0733,0.0533,1.0505,0.1333,2.689233577,345.4271357,5.733157895,4.047157895,0.632047478,2.526682951,0.047477745,0.035608309
19thPoet,"Whileyetwewaitforspring,andfromthedry,byRobertSeymourBridges/19th",0.3819,0.3121,0.0275,0.3211,0.5504,0.1666,0.25,0.899,0.4166,2.609431818,319.7164179,5.780909091,3.806363636,0.770642202,2.726946029,0.036697248,0.027522936
19thPoet,"TheCaptiveDove,byAnneBronte/19th",0.4703,0.2218,0.0227,0.284,0.625,0.0769,0.1538,0.9318,0.282,2.656518987,358.3469388,5.59,4.070434783,0.696629213,3.103173731,0.04494382,0.016853933
19thPoet,"TheYoungthatDiedinBeauty,byWilliamBarnes/19th",0.5567,0.2304,0.0305,0.2748,0.3396,0.035,0.0614,0.645,0.1052,2.657987805,339.6643357,5.977014925,4.119850746,0.607003891,2.305392064,0.011673152,0.050583658
19thPoet,"TheHouseThatWas,byLaurenceBinyon/19th",0.4098,0.3135,0.0393,0.3464,0.5905,0.0714,0.1428,0.9763,0.2142,2.650412371,329.5538462,5.64,3.879642857,0.76,2.678166699,0.016,0.008
19thPoet,"AtVariance,byEllisParkerButler/19th",0.2269,0.1238,0.0487,0.2439,0.5121,0.1666,0.3333,0.8048,0.5,2.580588235,314.2666667,6.295555556,3.847777778,0.761904762,2.108369665,0.023809524,0.023809524
19thPoet,"Punctuality,byLewisCarroll/19th",0.4185,0.2153,0.0671,0.2985,0.5074,0.1884,0.1739,0.8731,0.4202,2.357913043,316.25,5.901666667,3.660416667,0.71969697,2.221201586,0.03030303,0.060606061
19thPoet,"Inthenight,byStephenCrane/19th",0.4506,0.2153,0.0312,0.4187,0.425,0,0,0.875,0.0434,2.494961832,356.5,5.753793103,3.972413793,0.512345679,2.509826378,0.012345679,0.067901235
19thPoet,"Independence,byAleisterCrowley/19th",0.4938,0.1136,0.0256,0.4205,0.6205,0,0.1754,1.0666,0.1754,2.512011494,307.1632653,5.935319149,4.20893617,0.472081218,1.972789442,0,0.035532995
19thPoet,"ToMemory,byMaryElizabethColeridge/19th",0.3327,0.1241,0.0379,0.2911,0.443,0,0.1666,0.7721,0.1666,2.417727273,335.3023256,5.593076923,4.445769231,0.782051282,2.641476458,0.038461538,0.012820513
