Type,Poem/poet,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,identityEndRhymeFreq,endRhymeFreq,soundDevicesFreq,imageability,concreteness,valence,arousal,numOOV,numWords,propOOV,wordFreq,typeTokenRatio,wordLength,objectWords,abstractWords,propNoImage,emotWords,pleasurWords,painWords,wordFreqInc
contempPoet,"Adultery,byJamesDickey/Poet",0.0368,0.3975,0.5,0.1397,0,0.0107,0.1505,0.9344,336.1956522,2.693181818,5.496323529,4.165294118,2,245,0.008163265,2.234156558,0.628571429,4.06122449,0.036734694,0.012244898,0.248979592,0.008163265,0.016326531,0.008163265,266.3428571
contempPoet,"Tomatoes,byStephenDobyns/Poet",0.0333,0.4303,0.4878,0.0877,0,0.0087,0.0964,0.9515,350.031746,2.838409894,5.7243,4.195,1,336,0.00297619,2.367071817,0.535714286,4.035714286,0.038690476,0.017857143,0.25,0.008928571,0,0,478.7410714
contempPoet,"Fragments,byStephenDobyns/Poet",0.0312,0.3125,0.6015,0.0238,0,0,0.0238,0.9453,363.2574257,2.828660714,5.966041667,3.7525,0,129,0,2.115430072,0.674418605,4.023255814,0.062015504,0.015503876,0.217054264,0.031007752,0,0.031007752,153.0465116
contempPoet,"WingfootLake,byRitaDove/Poet",0.0338,0.3855,0.4661,0.0833,0,0.0092,0.1018,0.8855,342.964497,2.689655172,5.946060606,3.804242424,3,243,0.012345679,2.214892853,0.679012346,4.345679012,0.012345679,0.037037037,0.304526749,0.016460905,0,0.008230453,153.81893
contempPoet,"TheStairway,byStephenDunn/Poet",0.0297,0.3663,0.5891,0.0512,0,0,0.0512,0.9851,317.8789809,2.491550802,6.025,3.8575,0,208,0,2.201677364,0.634615385,4.360576923,0.043269231,0.024038462,0.245192308,0,0,0,101.9134615
contempPoet,"TheStrangePeople,byLouiseErdrich/Poet",0.0265,0.356,0.4545,0.098,0,0.0098,0.1078,0.8371,351.3857143,2.774201681,5.533793103,4.141954023,2,266,0.007518797,2.206803228,0.612781955,4.101503759,0.022556391,0.022556391,0.210526316,0.018796992,0.003759398,0.007518797,163.8496241
contempPoet,"NewVows,byLouiseErdrich/Poet",0.024,0.216,0.408,0.0666,0.0222,0,0.0888,0.6479,349.4086022,2.561747573,5.267272727,4.04,1,126,0.007936508,2.266480937,0.761904762,4.047619048,0.023809524,0.015873016,0.261904762,0.023809524,0,0.015873016,141.6746032
contempPoet,"SexualJealousy,byCarolFrost/Poet",0.0156,0.3437,0.3828,0,0,0,0.0769,0.7421,333.4329897,2.603589744,5.15952381,4.192142857,1,130,0.007692308,2.343830211,0.707692308,4.315384615,0.030769231,0.023076923,0.253846154,0.015384615,0,0,358.6076923
contempPoet,"TheUndressing,byCarolFrost/Poet",0.0287,0.2733,0.8417,0.0877,0,0,0.0877,1.1438,337.4818182,2.829593496,5.805,3.851842105,1,141,0.007092199,2.381560434,0.673758865,4.361702128,0.035460993,0.014184397,0.219858156,0,0,0,273.0638298
contempPoet,"ToKillaDeer,byCarolFrost/Poet",0.0301,0.3467,0.4723,0.1527,0,0.0277,0.1805,0.8492,382.4305556,2.905542169,5.44125,4.28,0,201,0,2.318737169,0.597014925,4.054726368,0.059701493,0.019900498,0.28358209,0.019900498,0,0.004975124,184.6915423
contempPoet,"Nostos,LouiseGluck/Poet",0.0081,0.4754,0.4508,0.1212,0,0,0.1212,0.9344,330.0752688,2.631,6.114318182,3.764318182,0,124,0,2.325975437,0.717741935,4.201612903,0.048387097,0.064516129,0.25,0,0.008064516,0,402.0322581
contempPoet,"CelestialMusic,byLouiseGluck/Poet",0.0253,0.4084,0.5014,0.081,0,0.009,0.099,0.9352,355.1933086,2.641128527,5.980338983,4.038389831,0,363,0,2.414573136,0.550964187,4.236914601,0.033057851,0.022038567,0.258953168,0.03030303,0.016528926,0.005509642,466.3223141
contempPoet,"HowSimileWorks,byAlbertGoldbarth/Poet",0.0392,0.5098,0.5294,0.0476,0,0,0.0476,1.0784,332.32,2.602921348,5.972222222,3.991481481,0,104,0,2.328117139,0.701923077,4.5,0.019230769,0.028846154,0.278846154,0.019230769,0,0,216.5576923
contempPoet,"TheOlderChild,byKimikoHahn/Poet",0.0566,0.415,0.4339,0.1111,0,0,0.1111,0.9056,361.6666667,3.001020408,5.560952381,4.23952381,2,55,0.036363636,2.426165949,0.8,4.454545455,0.036363636,0.036363636,0.290909091,0,0,0,360.9090909
contempPoet,"ThePorcelainCouple,byDonaldHall/Poet",0.0267,0.3649,0.5281,0.1452,0,0,0.1538,0.9198,367.8206278,2.932538462,5.849772727,3.934545455,3,345,0.008695652,2.470088421,0.588405797,4.356521739,0.08115942,0.020289855,0.353623188,0.002898551,0.002898551,0.005797101,298.0637681
contempPoet,"Reuben,Reuben,byMichaelS.Harper/Poet",0.0476,0.3174,0.4603,0.25,0.0277,0,0.2777,0.8253,354.1,2.878,5.397777778,4.444074074,3,66,0.045454545,1.879082243,0.833333333,3.803030303,0.015151515,0.015151515,0.242424242,0.015151515,0,0.015151515,128.8181818
contempPoet,"OurLadyoftheSnows,byRobertHass/Poet",0.0161,0.3548,0.4919,0,0.0185,0,0.0185,0.8629,344.3398058,2.560973451,5.841315789,3.836842105,0,128,0,2.246681016,0.6953125,4.1015625,0.03125,0.0390625,0.1953125,0.015625,0.0078125,0.0078125,362.71875
contempPoet,"TheImage,byRobertHass/Poet",0.0116,0.4302,0.6627,0,0,0,0,1.1046,350.7681159,2.68,6.373793103,3.88862069,0,89,0,2.171985006,0.561797753,4.314606742,0.02247191,0.02247191,0.224719101,0.02247191,0,0.033707865,193.1235955
contempPoet,"ThoseWinterSundays,byRobertHayden/Poet",0.052,0.177,0.4687,0.0833,0,0,0.0833,0.6979,341.1830986,2.596987952,5.831111111,3.930740741,0,100,0,2.472373701,0.76,4.19,0.03,0,0.29,0.01,0.01,0.01,264.11
contempPoet,"ThisNight,byWilliamHeyen/Poet",0.0175,0.2368,0.4912,0.0555,0.0138,0.0277,0.0972,0.7456,347.5581395,2.7691,5.853125,3.6246875,1,115,0.008695652,2.520219989,0.643478261,4.217391304,0.017391304,0.017391304,0.252173913,0,0.008695652,0.060869565,142.0173913
contempPoet,"PlayingDead,byAndrewHudgins/Poet",0.0176,0.2294,0.3941,0.1538,0.0512,0,0.2051,0.6411,365.3709677,2.98,5.518,3.885555556,0,175,0,2.141448826,0.645714286,3.937142857,0.017142857,0.028571429,0.291428571,0.005714286,0.005714286,0,115.8457143
contempPoet,"DegreesOfGrayInPhilipsburg,byRichardHugo/Poet",0.0325,0.2801,0.6514,0.075,0.0083,0,0.0916,0.9641,351.1834862,2.789,5.648252427,4.12815534,2,313,0.006389776,2.125462394,0.661341853,4.28115016,0.028753994,0.022364217,0.303514377,0.012779553,0,0,1069.600639
contempPoet,"Absences,byDonaldJustice/Poet",0.0181,0.3272,0.4363,0.1818,0,0,0.1818,0.7818,342.9555556,2.5866,5.955588235,3.744117647,0,112,0,1.932948335,0.616071429,4.330357143,0.0625,0.0625,0.196428571,0.017857143,0,0,47.625
contempPoet,"VariationsOnATextByVallejo,byDonaldJustice/Poet",0.0276,0.3979,0.5051,0.0919,0.0114,0.0114,0.1149,0.9307,327.1460177,2.613320313,5.896216216,3.890810811,2,290,0.006896552,2.30498748,0.524137931,4.020689655,0.04137931,0.044827586,0.220689655,0.013793103,0.003448276,0.003448276,300.1103448
contempPoet,"AfterMakingLoveweHearFootsteps,byGalwayKinnell/Poet",0.0282,0.3841,0.418,0.0877,0,0,0.1052,0.8305,342.7910448,2.794606061,6.004655172,3.982413793,0,180,0,2.310536893,0.7,4.305555556,0.027777778,0.016666667,0.255555556,0.038888889,0.016666667,0,381.1388889
contempPoet,"BlackberryEating,byGalwayKinnell/Poet",0.0322,0.4086,0.7849,0.3333,0,0,0.3333,1.2258,357.7017544,2.731184211,5.53625,4.22375,1,94,0.010638298,2.724706322,0.712765957,4.85106383,0.031914894,0.031914894,0.393617021,0.031914894,0.010638298,0,295.4468085
contempPoet,"Thrall,byCarolynKizer/Poet",0.0154,0.3608,0.4793,0.0574,0,0.0114,0.0919,0.8556,361.8666667,2.853908046,5.849166667,3.814833333,0,195,0,2.217135333,0.594871795,4.102564103,0.071794872,0.051282051,0.230769231,0.020512821,0.020512821,0,132.1794872
contempPoet,"TheIntruder,byCarolynKizer/Poet",0.0327,0.3196,0.7213,0.0476,0.0119,0,0.0714,1.0737,378.4418605,2.933488372,5.441538462,4.156703297,0,250,0,2.533521735,0.716,4.52,0.052,0.004,0.312,0.024,0.004,0.012,117.26
contempPoet,"FacingIt,byYusefKomunyakaa/Poet",0.0352,0.3588,0.5,0.0574,0,0,0.0689,0.8941,391.2936508,3.070145985,5.81015625,3.8684375,2,179,0.011173184,2.144549649,0.597765363,3.955307263,0.039106145,0.022346369,0.296089385,0.016759777,0,0,188.0167598
contempPoet,"AudacityoftheLowerGods,byYusefKomunyakaa/Poet",0.0425,0.3085,0.4361,0.1538,0,0,0.1538,0.7872,378.2459016,2.799090909,5.847428571,3.985714286,4,100,0.04,2.500420537,0.86,4.42,0.05,0.02,0.39,0.01,0,0,220.16
contempPoet,"HeavenasAnus,byMaxineKumin/Poet",0.0594,0.3837,0.5837,0.1428,0.0793,0,0.2222,1.027,316.12,2.637647059,5.31,4.250566038,0,186,0,2.503755172,0.725806452,4.38172043,0.043010753,0.02688172,0.327956989,0.005376344,0,0.005376344,277.7043011
contempPoet,"Nurture,byMaxineKumin/Poet",0.0357,0.4214,0.6,0.1176,0.0196,0,0.1372,1.0571,337.8039216,2.694285714,5.689636364,4.047090909,0,141,0,2.623837093,0.744680851,4.425531915,0.014184397,0.021276596,0.276595745,0.028368794,0.007092199,0.007092199,256.5390071
