Hay for the Horses by Gary Synder,Poet,5.40219512195,3.95536585366
Oranges by Gary Soto,Poet,5.93484848485,3.95712121212
Glass-Bottom Boat by Elizabeth Spires,Poet,5.94595744681,3.95829787234
Gin by David St. John,Poet,5.73777777778,3.86935185185
Traveling through the Dark by William Stafford,Poet,5.52826923077,3.98423076923
Notice What This Poem Is Not Doing by William Stafford,Poet,6.110625,3.78125
The Dancing by Gerald Stern,Poet,5.51902439024,4.27731707317
The Prediction by Mark Strand,Poet,6.07137931034,3.83413793103
The Night The Porch by Mark Strand,Poet,6.12222222222,3.82333333333
Letter by Jean Valentine,Poet,5.95333333333,3.94215686275
Year's End by Ellen Bryant Voigt,Poet,5.54625,3.9725
In Trackless Woods by Richard Wilbur,Poet,5.54034482759,3.79655172414
The Singing by C. K. Williams,Poet,5.95024691358,3.93728395062
More Blues and the Abstract Truth by C.D. Write,Poet,5.78595238095,3.92773809524
Approximately Forever by C.D. Wright,Poet,6.10142857143,4.27571428571
Clear Night by Charles Wright,Poet,6.04777777778,3.93177777778
Lying in a Hammock at William Duffy's Farm in Pine Island Minnesota by James Wright,Poet,6.1403125,3.7215625
A Blessing by James Wright,Poet,6.03982758621,3.93896551724
Only but a dream,Amateur,5.97797619048,3.86726190476
Dr. Heinz Doofenshmirtz,Amateur,5.49711111111,4.09444444444
Freedom,Amateur,6.76548387097,4.08161290323
The foolish man,Amateur,5.7135,3.800875
Live for the moment,Amateur,5.65310344828,4.3324137931
Eaten up,Amateur,5.71181818182,4.13136363636
Gates of Goodbye,Amateur,5.845,4.01266666667
true beauty,Amateur,6.73290322581,4.52096774194
A Walk in the Park,Amateur,5.9548,3.9508
The two of them,Amateur,6.20105263158,4.34789473684
Your life,Amateur,5.24604166667,4.05520833333
Thing we have lost in fire,Amateur,5.71111111111,3.93259259259
Mother Rabbit,Amateur,5.4,4.1332
Aurora,Amateur,5.304375,3.92375
Boy to a man,Amateur,5.60918918919,4.08783783784
Goodbye poem,Amateur,6.6575,4.32166666667
Read me,Amateur,5.02368421053,4.16052631579
Angel eyes,Amateur,6.67607142857,4.14642857143
Another Chapter,Amateur,6.0546875,4.6253125
Self Reserved,Amateur,6.22891304348,4.1047826087
Yet the sun still sleeps. ,Amateur,5.69980392157,4.17549019608
Let love be as one,Amateur,6.01964912281,3.83070175439
Charlotte Emily and Anne,Amateur,5.90848484848,3.82575757576
Cappuccino,Amateur,6.06592592593,3.91037037037
Pleasure trip,Amateur,5.36685714286,3.99171428571
I thought I knew,Amateur,5.75923076923,4.06861538462
Where is our fate formed?,Amateur,6.25904761905,3.93047619048
Sometimes,Amateur,5.9546969697,4.04484848485
Life,Amateur,5.41814814815,4.27283950617
You can cry,Amateur,4.76469387755,4.30632653061
Breaking heart,Amateur,5.46739130435,4.46
And a Merry Christmas to You,Amateur,5.74229357798,4.25917431193
Everybody likes my clock,Amateur,5.62212121212,3.90606060606
I nearly fell,Amateur,6.00057142857,4.13742857143
Denial,Amateur,5.96291666667,4.2325
Winter silence,Amateur,6.242,4.462
Demons and scars,Amateur,5.39458333333,3.98375
The first time I saw you. ,Amateur,6.25632653061,4.16734693878
Sister,Amateur,6.24055555556,3.9775
For Thee,Amateur,6.76166666667,4.35666666667
Precious Lord,Amateur,6.05028571429,4.29571428571
Love is like,Amateur,6.34575757576,4.16757575758
Life2,Amateur,5.97461538462,4.39692307692
To Be Young And Naive,Amateur,5.67767676768,3.98757575758
Why I love You,Amateur,6.63674418605,4.24372093023
First Love,Amateur,5.81326732673,4.14732673267
Miss You,Amateur,6.56526315789,3.72210526316
THE END HAD COME,Amateur,5.45925925926,4.05703703704
BABY OF POVERTY,Amateur,5.82,4.70303030303
Broken Home,Amateur,5.46348837209,3.93348837209
My Thoughts On Love,Amateur,6.21013333333,4.1012
Take Me Back,Amateur,5.83711538462,3.91961538462
A Friend Is,Amateur,6.02166666667,4.0625
THE GARDEN,Amateur,6.72355555556,3.90222222222
Insomnia,Amateur,5.72790322581,3.78806451613
Unrequited Love,Amateur,6.01206896552,4.37793103448
Wavering,Amateur,5.23047619048,4.38428571429
Garden of Shattered Dreams,Amateur,6.33892857143,3.86928571429
Thinking Of You,Amateur,5.88476190476,3.95285714286
My heart bleeds,Amateur,6.05542372881,4.62220338983
Time Isn't Always a good thing,Amateur,5.632,4.1264
Is It Really Love,Amateur,6.47367346939,4.17775510204
Same Ole' Story,Amateur,6.09441176471,3.84235294118
Restored,Amateur,6.53354166667,4.29125
Do You?,Amateur,5.95333333333,3.96740740741
Adoption is Love,Amateur,6.98625,4.479375
Road to Happiness,Amateur,5.99931818182,4.38795454545
Untitled 1,Amateur,6.38608695652,4.05869565217
Reflection,Amateur,5.254,3.88266666667
A DREAM WITHIN A DREAM,Amateur,5.85081081081,4.10351351351
Waiting,Amateur,5.71225806452,4.2135483871
The War,Amateur,5.49617647059,4.25176470588
On a Moonlit Night,Amateur,6.06981818182,3.92272727273
Traipsing on Bantayan Shore,Amateur,6.14105263158,4.36070175439
you are my angel,Amateur,6.31464285714,3.72892857143
I Know,Amateur,6.04566666667,3.81411111111
The Way That You Left Me,Amateur,5.72463157895,4.25768421053
Waiting for Love,Amateur,5.9437037037,3.9337037037
a love without good-byes,Amateur,5.8574,4.1206
Wail of a wave,Amateur,5.94327586207,4.03137931034
Your still here,Amateur,5.27732142857,4.03767857143
Why?,Amateur,5.9555,4.12775
Always on my mind.,Amateur,6.325,3.8165
Lonely in the dark room ",Amateur,6.00857142857,3.89261904762
Untitled 2,Amateur,6.7724137931,4.47103448276
As One,Amateur,6.49461538462,3.91576923077
life goes on,Amateur,6.4895,4.7135
Everlasting Love,Amateur,5.92695652174,4.01956521739
ethics of the blacks,Amateur,5.93384615385,3.82
Hazed Maze,Amateur,5.79877192982,4.37964912281
ME AND YOU,Amateur,6.29192307692,4.05923076923
When you left,Amateur,6.4592,4.1712
"MAGIC",Amateur,6.5121875,4.575
TOGETHER. FOREVER!,Amateur,6.260625,4.27125
YOU ARE MY EVERYTHING,Amateur,6.51714285714,4.30464285714
Believe in Miracles !,Amateur,6.03675675676,4.08189189189
A Lie,Amateur,5.43225806452,4.24387096774
I love you,Amateur,6.0697826087,4.26782608696
"It",Amateur,6.64787878788,4.31939393939
Memories,Amateur,5.57753623188,4.07405797101
Growing Old by Matthew Arnold,19th,5.53,4.25
Twenty-First. Night. Monday by Anna Akhmatova,19th,5.7024,4.0968
Autumnal Sonnet by William Allingham,19th,5.55829268293,3.97219512195
