"Word","Bigram","Conc.M","Conc.SD"
"roadsweeper",-0.279545725096204,1.74632123578026,-2.50332187937923
"traindriver",-0.279545725096204,1.44784314101246,-1.40983026206808
"tush",-0.279545725096204,1.36118821027342,-0.44498471738177
"hairdress",-0.279545725096204,0.860515277114531,0.42337627283591
"pharmaceutics",-0.279545725096204,0.706462066911795,0.841476008866644
"hoover",-0.279545725096204,0.696833741274124,0.262568682054858
"shopkeeping",-0.279545725096204,0.138390854289207,0.133922609430016
"pushiness",-0.279545725096204,-0.535591940347763,0.294730200211068
"underdevelop",-0.279545725096204,-0.641503522362144,0.809314490710434
"tirelessness",-0.279545725096204,-0.728158453101183,0.42337627283591
"oldfashioned",-0.279545725096204,-0.747415104376525,-0.41282319922556
"wellmannered",-0.279545725096204,-0.757043430014196,-0.026884981351036
"dismissiveness",-0.279545725096204,-1.16143310679638,-0.477146235537981
"spitefulness",-0.279545725096204,-1.19031808370939,-1.24902267128703
"untruthfulness",-0.279545725096204,-1.25771636317309,-0.734438380787664
"dispiritedness",-0.279545725096204,-1.4213978990135,-1.40983026206808
"sled",-0.279545725096204,1.89074612034533,-3.69329805115902
"plunger",-0.279545725096204,1.85223281779464,-3.05006768803481
"human",-0.279545725096204,1.82334784088163,-2.85709857909755
"waterbed",-0.279545725096204,1.82334784088163,-2.82493706094134
"cymbal",-0.279545725096204,1.81371951524396,-2.79277554278513
"ginger",-0.279545725096204,1.81371951524396,-2.82493706094134
"bobsled",-0.279545725096204,1.79446286396862,-2.37467580675439
"cardboard",-0.279545725096204,1.79446286396862,-2.37467580675439
"olive",-0.279545725096204,1.79446286396862,-2.6962909883165
"dogsled",-0.279545725096204,1.78483453833095,-2.66412947016029
"rubber",-0.279545725096204,1.75594956141793,-1.31334570759945
"soybean",-0.279545725096204,1.71743625886725,-1.21686115313082
"tangerine",-0.279545725096204,1.70780793322958,-1.69928392547397
"headrest",-0.279545725096204,1.69817960759191,-1.24902267128703
"eucalyptus",-0.279545725096204,1.66929463067889,-1.86009151625503
"saltwater",-0.279545725096204,1.66929463067889,-1.05605356234977
"armrest",-0.279545725096204,1.65966630504122,-1.02389204419356
"paramedic",-0.279545725096204,1.64040965376588,-2.24602973412955
"liquid",-0.279545725096204,1.62115300249054,-1.95657607072366
"billfold",-0.279545725096204,1.61152467685287,-0.477146235537981
"canine",-0.279545725096204,1.61152467685287,-1.7636069617864
"flowerbed",-0.279545725096204,1.61152467685287,-1.7636069617864
"soy",-0.279545725096204,1.6018963512152,-1.7636069617864
"bald",-0.279545725096204,1.59226802557753,-2.18170669781713
"lilac",-0.279545725096204,1.59226802557753,-0.573630790006612
"hemorrhoid",-0.279545725096204,1.58263969993986,-1.37766874391187
"orange",-0.279545725096204,1.56338304866451,-0.798761417100085
"arachnid",-0.279545725096204,1.55375472302684,-1.4741532983805
"underarm",-0.279545725096204,1.5344980717515,-1.37766874391187
"barefoot",-0.279545725096204,1.52486974611383,-1.50631481653671
"bearded",-0.279545725096204,1.52486974611383,-1.44199178022429
"thyroid",-0.279545725096204,1.51524142047616,-1.31334570759945
"wooden",-0.279545725096204,1.51524142047616,-1.66712240731776
"sleeveless",-0.279545725096204,1.50561309483849,-2.0852221433485
"concrete",-0.279545725096204,1.49598476920082,-0.316338644756929
"panty",-0.279545725096204,1.49598476920082,-0.766599898943874
"pregnant",-0.279545725096204,1.49598476920082,-0.830922935256295
"helmeted",-0.279545725096204,1.48635644356315,-1.44199178022429
"hula",-0.279545725096204,1.48635644356315,-1.63496088916155
"female",-0.279545725096204,1.47672811792548,-0.863084453412505
"crematory",-0.279545725096204,1.4670997922878,-1.82792999809882
"pigtailed",-0.279545725096204,1.45747146665013,-1.18469963497461
"sphincter",-0.279545725096204,1.44784314101246,-0.509307753694191
"backrest",-0.279545725096204,1.42858648973712,-0.734438380787664
"blonde",-0.279545725096204,1.42858648973712,-0.187692572132087
"farmhand",-0.279545725096204,1.42858648973712,-0.44498471738177
"fat",-0.279545725096204,1.42858648973712,-0.959569007881137
"hairless",-0.279545725096204,1.42858648973712,-0.670115344475243
"afghan",-0.279545725096204,1.40932983846178,-0.734438380787664
"binocular",-0.279545725096204,1.40932983846178,-0.38066168106935
"naked",-0.279545725096204,1.40932983846178,-0.477146235537981
"hairy",-0.279545725096204,1.39007318718644,-0.541469271850402
"saline",-0.279545725096204,1.39007318718644,-0.670115344475243
"sudsy",-0.279545725096204,1.39007318718644,-0.477146235537981
"wet",-0.279545725096204,1.37081653591109,-1.82792999809882
"wooded",-0.279545725096204,1.37081653591109,-0.991730526037347
"male",-0.279545725096204,1.36118821027342,-0.41282319922556
"rusted",-0.279545725096204,1.35155988463575,-0.959569007881137
"aquamarine",-0.279545725096204,1.34193155899808,-0.734438380787664
"shirtless",-0.279545725096204,1.34193155899808,-0.573630790006612
"headless",-0.279545725096204,1.33230323336041,-0.637953826319033
"solid",-0.279545725096204,1.33230323336041,-1.08821508050598
"beaded",-0.279545725096204,1.32267490772274,-0.219854090288298
"blond",-0.279545725096204,1.32267490772274,-0.0912080176634561
"soapy",-0.279545725096204,1.32267490772274,-0.702276862631453
"woodcutting",-0.279545725096204,1.32267490772274,-1.50631481653671
"prosthetic",-0.279545725096204,1.31304658208507,-0.348500162913139
"roast",-0.279545725096204,1.31304658208507,-0.573630790006612
"tartar",-0.279545725096204,1.31304658208507,-0.0590464995072464
"newborn",-0.279545725096204,1.3034182564474,-0.38066168106935
"feline",-0.279545725096204,1.29378993080973,-0.541469271850402
