"X","Word","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum"
1,"aardvark",0.938239076969012,1.51518397196888,-0.119974728165867,-2.00865221873595,-2.81090634307074,-0.0393932218173856
2,"abalone",0.185233851462712,-0.254825761142992,-0.0773160251525021,-1.74091850585152,-1.24963454329709,-0.120278079658454
3,"abandon",-1.74434203889718,-0.39756848155524,-0.119974728165867,-0.536116797871607,0.405313564462978,-0.0393932218173856
4,"abandonment",-1.90906193197669,0.173402400093752,-0.119974728165867,0.824862909290891,1.06104772036791,-0.0798356507379197
5,"abbey",0.616643095242363,0.0306596796815037,-0.0773160251525021,-2.24291921750982,-1.87414326320655,-0.120278079658454
6,"abdomen",0.287203309083357,0.201950944176201,-0.0346573221391371,-0.591894654722529,-0.219195155446482,-0.0393932218173856
7,"abdominal",-0.457958111990586,-0.254825761142992,0.0506600838875929,-0.792694939385849,-1.49943803126088,-0.0393932218173856
8,"abduct",-2.07378182505619,-0.197728672978093,-0.119974728165867,1.88464218945841,0.842469668399599,-0.120278079658454
9,"abduction",-2.36400258905341,-1.05418499545158,-0.119974728165867,1.2487746213579,-0.312871463432901,-0.0798356507379197
10,"abide",0.357797548974572,0.201950944176201,-0.0346573221391371,-1.06042865227028,-0.250420591441955,0.00104920710314862
11,"abiding",0.397016571136359,0.201950944176201,0.0506600838875929,-0.692294797054189,-0.125518847460064,-0.0393932218173856
12,"ability",1.51868060496345,-0.254825761142992,-0.0773160251525021,0.713307195589046,1.37330208032264,-0.120278079658454
13,"abject",-0.834460724743737,-1.11128208361648,-0.119974728165867,-0.301849799097735,0.342862692472032,-0.241605366420056
14,"ablaze",0.0675767849773527,0.316145120506,-0.0773160251525021,2.83286575592409,-0.562674951396685,-0.120278079658454
15,"able",1.23630364539859,0.316145120506,0.00800138087422793,-0.926561795828062,-0.156744283455536,-0.0798356507379197
16,"abnormal",-1.20311953306453,-1.31112189219363,-0.119974728165867,0.300551054892224,-0.0318425394736441,-0.0798356507379197
17,"abnormality",-1.57962214581768,0.373242208670899,-0.119974728165867,0.880640766141813,0.998596848376965,-0.0393932218173856
18,"abode",0.169546242597997,-1.16837917178138,-0.162633431179232,-1.46202922159691,-1.28085997929256,-0.0798356507379197
19,"abolish",-0.959961595661453,-0.39756848155524,-0.119974728165867,-0.0341160862133092,-0.718802131374051,-0.241605366420056
20,"abominable",-0.79524170258195,-1.28257334811118,-0.0773160251525021,1.38264147780011,0.436539000458451,-0.0393932218173856
21,"abomination",-2.01103138959733,-0.0835344966482948,-0.162633431179232,1.88464218945841,0.904920540390545,-0.120278079658454
22,"abort",-1.54040312365589,-0.882893730956883,-0.0773160251525021,1.77308647575657,0.436539000458451,-0.120278079658454
23,"abortion",-1.94828095413847,0.458887840918248,-0.119974728165867,1.36033033505974,0.249186384485613,0.971667501195969
24,"abracadabra",0.0362015672479235,2.40018883852482,-0.162633431179232,1.18184119313679,1.06104772036791,-0.0393932218173856
25,"abrasive",-0.630521809502447,0.0306596796815037,-0.119974728165867,2.1077536168621,-1.28085997929256,-0.0798356507379197
26,"abreast",-0.348144849937584,0.744373281742744,-0.0346573221391371,0.445573482704621,0.093059204508248,0.00104920710314862
27,"abrupt",-1.39921464387346,-0.112083040730744,-0.162633431179232,1.13721890765605,-0.937380183342361,-0.0393932218173856
28,"abscess",-1.78356106105897,-0.283374305225441,-0.119974728165867,-0.234916370876628,0.249186384485613,-0.120278079658454
29,"absence",-0.944273986796739,1.14405289889704,-0.0346573221391371,0.0997507702289038,-0.531449515401213,-0.120278079658454
30,"absent",-0.756022680420164,-0.36901993747279,-0.0346573221391371,-0.547272369241792,0.561440744440343,0.081934064944217
31,"absinthe",-1.20311953306453,0.858567458072542,-0.119974728165867,-0.569583511982161,0.12428464050372,-0.120278079658454
32,"absolute",0.287203309083357,-0.797248098709535,-0.0346573221391371,-0.815006082126218,-0.0942934114645902,0.00104920710314862
33,"absolution",1.18924081880445,0.00211113559905409,-0.119974728165867,-0.926561795828062,-0.593900387392159,-0.0798356507379197
